,word,count_n,corpos_N
825,highest,449,10601584
826,likely,1103,10601584
827,descended,435,10601584
828,feel,4532,10601584
829,keep,4089,10601584
830,recognised,445,10601584
831,street,2707,10601584
832,notwithstanding,261,10601584
833,popular,325,10601584
834,dressed,904,10601584
835,lodgings,184,10601584
836,person,3189,10601584
837,money,4150,10601584
838,permission,440,10601584
839,fee,313,10601584
840,free,2036,10601584
841,candidates,29,10601584
842,cousins,150,10601584
843,gurameer,10,10601584
844,bishop,439,10601584
845,access,446,10601584
846,philosophy,278,10601584
847,travelling,302,10601584
848,america,579,10601584
849,alamatua,9,10601584
850,ladies,1519,10601584
851,physical,588,10601584
852,cattle,223,10601584
853,apparatus,51,10601584
854,field,605,10601584
855,moreover,766,10601584
856,business,2876,10601584
857,produced,777,10601584
858,insects,101,10601584
859,hearing,732,10601584
860,authority,600,10601584
861,evidence,673,10601584
862,sir,6379,10601584
863,productions,42,10601584
864,experience,1031,10601584
865,credit,373,10601584
866,question,3423,10601584
867,remark,739,10601584
868,nearer,725,10601584
869,prevailed,138,10601584
870,relief,880,10601584
871,spoke,3460,10601584
872,line,1353,10601584
873,table,3230,10601584
874,dark,3662,10601584
875,efforts,518,10601584
876,clothes,1226,10601584
877,eight,721,10601584
878,suffered,704,10601584
879,dress,1486,10601584
880,belonged,490,10601584
881,british,410,10601584
882,hindostan,11,10601584
883,lovely,951,10601584
884,appears,425,10601584
885,desirous,137,10601584
886,strongly,372,10601584
887,resorted,42,10601584
888,taught,503,10601584
889,simple,1347,10601584
890,months,1407,10601584
891,acquired,310,10601584
892,communicate,155,10601584
893,opportunity,985,10601584
894,effects,232,10601584
895,saved,573,10601584
896,door,7011,10601584
897,bright,1548,10601584
898,slept,572,10601584
899,enjoying,226,10601584
900,causes,219,10601584
901,ascend,73,10601584
902,aerial,37,10601584
903,fastened,287,10601584
904,differ,82,10601584
905,eat,835,10601584
906,distinct,351,10601584
907,wanted,3525,10601584
908,top,1110,10601584
909,pen,348,10601584
910,disc,25,10601584
911,follow,1189,10601584
912,red,2460,10601584
913,vegetable,60,10601584
914,saying,2405,10601584
915,rate,1277,10601584
916,owing,290,10601584
917,vast,575,10601584
918,diminished,103,10601584
919,ago,1687,10601584
920,numbers,168,10601584
921,fall,1439,10601584
922,quite,7221,10601584
923,occupation,292,10601584
924,employment,170,10601584
925,desire,1796,10601584
926,separation,197,10601584
927,instead,1277,10601584
928,position,1950,10601584
929,senses,393,10601584
930,five,2105,10601584
931,freely,529,10601584
932,admitted,600,10601584
933,women,3730,10601584
934,herself,8570,10601584
935,balls,196,10601584
936,considerable,662,10601584
937,fear,2419,10601584
938,takes,932,10601584
939,help,3468,10601584
940,practised,128,10601584
941,prevent,623,10601584
942,rules,249,10601584
943,black,3426,10601584
944,associated,410,10601584
945,including,455,10601584
946,refund,314,10601584
947,speculations,87,10601584
948,attraction,159,10601584
949,religious,559,10601584
950,hopes,685,10601584
951,abroad,395,10601584
952,wished,1801,10601584
953,learn,986,10601584
954,actually,718,10601584
955,attempt,778,10601584
956,mortal,240,10601584
957,happened,1887,10601584
958,ready,2318,10601584
959,conduct,753,10601584
960,exchange,280,10601584
961,closed,1594,10601584
962,relative,182,10601584
963,solid,378,10601584
964,judgment,461,10601584
965,rivers,169,10601584
966,settled,1010,10601584
967,consequence,460,10601584
968,quit,242,10601584
969,commerce,116,10601584
970,extended,375,10601584
971,traffic,173,10601584
972,wealth,513,10601584
973,spite,1390,10601584
974,purchase,190,10601584
975,cultivation,73,10601584
976,daughters,349,10601584
977,succession,179,10601584
978,fresh,1427,10601584
979,speck,68,10601584
980,rapidity,115,10601584
981,western,289,10601584
982,breeze,384,10601584
983,safe,952,10601584
984,covered,1031,10601584
985,arrival,621,10601584
986,sentiments,250,10601584
987,consisted,255,10601584
988,army,498,10601584
989,district,240,10601584
990,river,1585,10601584
991,ran,1836,10601584
992,disputes,57,10601584
993,distinguished,507,10601584
994,questions,1015,10601584
995,neighbouring,161,10601584
996,fit,849,10601584
997,period,616,10601584
998,tried,2231,10601584
999,caste,75,10601584
1000,gay,489,10601584
1001,notes,537,10601584
1002,arose,397,10601584
1003,late,2004,10601584
1004,returning,583,10601584
1005,easily,1095,10601584
1006,providing,196,10601584
1007,degree,652,10601584
1008,bound,1046,10601584
1009,leisure,265,10601584
1010,brain,686,10601584
1011,intellectual,344,10601584
1012,active,454,10601584
1013,explained,1085,10601584
1014,mass,641,10601584
1015,awakened,281,10601584
1016,copper,133,10601584
1017,interval,306,10601584
1018,vessel,396,10601584
1019,prove,637,10601584
1020,lunarium,8,10601584
1021,sides,608,10601584
1022,screws,25,10601584
1023,leaving,1393,10601584
1024,consequently,226,10601584
1025,accident,516,10601584
1026,rays,176,10601584
1027,manifested,115,10601584
1028,permitted,421,10601584
1029,arms,2912,10601584
1030,nay,372,10601584
1031,hue,138,10601584
1032,circle,659,10601584
1033,check,377,10601584
1034,past,2251,10601584
1035,amused,547,10601584
1036,fruits,127,10601584
1037,obtain,417,10601584
1038,dish,135,10601584
1039,refreshment,82,10601584
1040,middle,1078,10601584
1041,distribution,255,10601584
1042,smaller,265,10601584
1043,throw,744,10601584
1044,controversy,44,10601584
1045,urged,394,10601584
1046,dimensions,48,10601584
1047,mistaken,451,10601584
1048,occupations,75,10601584
1049,persuaded,262,10601584
1050,journey,853,10601584
1051,easy,1620,10601584
1052,surely,999,10601584
1053,funeral,289,10601584
1054,honour,1006,10601584
1055,grief,627,10601584
1056,pale,1677,10601584
1057,catch,760,10601584
1058,lives,1052,10601584
1059,plain,981,10601584
1060,surprised,1127,10601584
1061,tall,1070,10601584
1062,square,911,10601584
1063,justice,787,10601584
1064,neither,2037,10601584
1065,removed,602,10601584
1066,proper,815,10601584
1067,office,1158,10601584
1068,ingenuity,103,10601584
1069,got,7990,10601584
