,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,F_name,M_name,name_match
1,PG10002,1,The House on the Borderland,"Hodgson, William Hope",1877.0,1918.0,['en'],824,{'Science fiction'},,The House on the Borderland,Hodgson,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877.0,William Hope Hodgson,Q740473,Q919277,William Hope Hodgson,empty,100
2,PG10005,"1, when only first half of the title","A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775.0,1861.0,['en'],42,"{'Space flight to the moon -- Fiction', 'Science fiction'}",,A Voyage to the Moon,Tucker,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775.0,George Tucker,Q20543676,Q1508382,George Tucker,empty,100
3,PG10008,1,The Mystery,"Adams, Samuel Hopkins",1871.0,1958.0,['en'],27,{'Science fiction'},,The Mystery,Adams,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871.0,Samuel Hopkins Adams,Q95981569,Q185406,Samuel Hopkins Adams,empty,100
4,PG10046,1,Salute to Adventurers,"Buchan, John",1875.0,1940.0,['en'],24,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Jamestown (Va.) -- Fiction', 'Scottish Americans -- Virginia -- Fiction', 'Historical fiction', 'Glasgow (Scotland) -- Fiction'}",,Salute to Adventurers,Buchan,http://www.wikidata.org/entity/Q7406333,http://www.wikidata.org/entity/Q333004,1875.0,John Buchan,Q7406333,Q333004,John Buchan,empty,100
5,PG10055,,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729.0,1781.0,['de'],57,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",,Hamburgische Dramaturgie,Lessing,http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729.0,Gotthold Ephraim Lessing,Q53585,Q34628,Gotthold Ephraim Lessing,empty,100
6,PG10059,,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],24,"{'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces on Vacation,Baum,http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q16385081,Q207544,L. Frank Baum,Lyman Frank Baum,100
7,PG10084,,Kazan,"Curwood, James Oliver",1878.0,1927.0,['en'],98,"{'Wolfdogs -- Fiction', 'Dogs -- Fiction'}",,Kazan,Curwood,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878.0,James Oliver Curwood,Q3497638,Q468156,James Oliver Curwood,empty,100
8,PG10123,,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],35,"{'Families -- Economic aspects -- Juvenile fiction', 'Family -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces,Baum,http://www.wikidata.org/entity/Q4821956,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821956,Q207544,L. Frank Baum,Lyman Frank Baum,100
9,PG10124,,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],40,"{'California -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Western stories', 'Brigands and robbers -- Juvenile fiction', 'West (U.S.) -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Rocky Mountains -- Description and travel -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction'}",,Aunt Jane's Nieces and Uncle John,Baum,http://www.wikidata.org/entity/Q4821962,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821962,Q207544,L. Frank Baum,Lyman Frank Baum,100
10,PG1013,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],168,"{'Utopian fiction', 'Satire', 'Science fiction', 'Imperialism -- Fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q1218232,Q42511,H. G. Wells,Herbert George Wells,100
11,PG10148,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],1346,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713,Howard Pyle,empty,100
13,PG26467,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],101,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713,Howard Pyle,empty,100
15,PG10149,,"Home as Found: Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789.0,1851.0,['en'],24,{'United States -- Social life and customs -- Fiction'},,Home as Found,Cooper,http://www.wikidata.org/entity/Q65051190,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q65051190,Q167856,James Fenimore Cooper,empty,100
16,PG10150,,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],1463,"{'Short stories', 'Horror tales', 'Gothic fiction'}",,Dracula's Guest,Stoker,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q36184,1847.0,Bram Stoker,Q20726020,Q36184,Bram Stoker,empty,100
17,PG10165,,Across the Zodiac: The Story of a Wrecked Record,"Greg, Percy",1836.0,1889.0,['en'],87,{'Science fiction'},,Across the Zodiac,Greg,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q7167372,1836.0,Percy Greg,Q4676516,Q7167372,Percy Greg,empty,100
18,PG1017,,The Soul of Man under Socialism,"Wilde, Oscar",1854.0,1900.0,['en'],506,{'Socialism'},,The Soul of Man under Socialism,Wilde,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q30875,1854.0,Oscar Wilde,Q1196990,Q30875,Oscar Wilde,empty,100
19,PG10217,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],22,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999,Mary Austin,empty,76
21,PG365,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],248,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999,Mary Austin,empty,76
23,PG10226,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],24,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691,Marshall Saunders,empty,79
27,PG2818,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],79,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691,Marshall Saunders,empty,79
31,PG1023,,Bleak House,"Dickens, Charles",1812.0,1870.0,['en'],2537,"{'Domestic fiction', 'Young women -- Fiction', 'Inheritance and succession -- Fiction', 'Guardian and ward -- Fiction', 'Illegitimate children -- Fiction', 'Bildungsromans', 'Legal stories', 'London (England) -- Fiction'}",,Bleak House,Dickens,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812.0,Charles Dickens,Q883305,Q5686,Charles Dickens,empty,100
32,PG1024,,The Wrecker,"Osbourne, Lloyd",1868.0,1947.0,['en'],172,"{'Avarice -- Fiction', 'Shipwrecks -- Fiction', 'Treasure troves -- Fiction'}",,The Wrecker,Osbourne,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868.0,Lloyd Osbourne,Q2753955,Q1387643,Lloyd Osbourne,empty,100
33,PG1026,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],564,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825,George Grossmith,empty,100
39,PG21517,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],141,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825,George Grossmith,empty,100
45,PG1027,,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],264,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",,The Lone Star Ranger,Grey,http://www.wikidata.org/entity/Q16386740,http://www.wikidata.org/entity/Q146763,1872.0,Zane Grey,Q16386740,Q146763,Zane Grey,empty,100
46,PG1028,,The Professor,"Brontë, Charlotte",1816.0,1855.0,['en'],404,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'Brussels (Belgium) -- Fiction', 'British -- Belgium -- Fiction', 'Women teachers -- Fiction'}",,The Professor,Brontë,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/entity/Q127332,1816.0,Charlotte Brontë,Q762203,Q127332,Charlotte Brontë,empty,100
47,PG10290,,Confession de Minuit: Roman,"Duhamel, Georges",1884.0,1966.0,['fr'],115,{'French fiction -- 20th century'},,Confession de Minuit,Duhamel,http://www.wikidata.org/entity/Q107104468,http://www.wikidata.org/entity/Q20733,1884.0,Georges Duhamel,Q107104468,Q20733,Georges Duhamel,empty,100
48,PG10291,,In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],24,"{'World War, 1914-1918 -- Peace', 'Democracy', 'League of Nations'}",,In the Fourth Year,Wells,http://www.wikidata.org/entity/Q6012178,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q6012178,Q42511,H. G. Wells,Herbert George Wells,100
49,PG1029,,The Night-Born,"London, Jack",1876.0,1916.0,['en'],225,"{'Short stories', 'Adventure and adventurers -- Fiction'}",,The Night-Born,London,http://www.wikidata.org/entity/Q78289676,http://www.wikidata.org/entity/Q45765,1876.0,Jack London,Q78289676,Q45765,Jack London,empty,100
50,PG1032,,The Pupil,"James, Henry",1843.0,1916.0,['en'],163,{'Fiction'},,The Pupil,James,http://www.wikidata.org/entity/Q7758766,http://www.wikidata.org/entity/Q170509,1843.0,Henry James,Q7758766,Q170509,Henry James,empty,100
51,PG10337,,Lady into Fox,"Garnett, David",1892.0,1981.0,['en'],114,"{'Metamorphosis -- Fiction', 'Fantasy fiction, English', 'Foxes -- Fiction'}",,Lady into Fox,Garnett,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q704860,1892.0,David Garnett,Q6470665,Q704860,David Garnett,empty,100
52,PG10339,,An Antarctic Mystery,"Verne, Jules",1828.0,1905.0,['en'],196,{'Antarctica -- Discovery and exploration -- Fiction'},,An Antarctic Mystery,Verne,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q33977,1828.0,Jules Verne,Q1212137,Q33977,Jules Verne,empty,100
53,PG10345,,Domestic Manners of the Americans,"Trollope, Frances Milton",1780.0,1863.0,['en'],172,"{'United States -- Social life and customs -- 1783-1865', 'Trollope, Frances Milton, 1780-1863 -- Travel -- United States', 'United States -- Description and travel', 'United States -- Social conditions -- To 1865'}",,Domestic Manners of the Americans,Trollope,http://www.wikidata.org/entity/Q5290161,http://www.wikidata.org/entity/Q271961,1780.0,Frances Trollope,Q5290161,Q271961,Frances Milton Trollope,empty,82
54,PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719,Wilfred Owen,empty,100
86,PG10354,,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,"{'Pastoral poetry', 'German poetry -- 18th century'}",,Die Laune des Verliebten,Goethe,http://www.wikidata.org/entity/Q1214293,http://www.wikidata.org/entity/Q5879,1749.0,Johann Wolfgang von Goethe,Q1214293,Q5879,Johann Wolfgang von Goethe,empty,100
87,PG10359,,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],26,"{'Stocks -- Juvenile fiction', 'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces at Millville,Baum,http://www.wikidata.org/entity/Q4821963,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821963,Q207544,L. Frank Baum,Lyman Frank Baum,100
88,PG1035,,The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869.0,1935.0,['en'],109,{'American poetry'},,The Man Against the Sky,Robinson,http://www.wikidata.org/entity/Q30918305,http://www.wikidata.org/entity/Q1294394,1869.0,Edwin Arlington Robinson,Q30918305,Q1294394,Edwin Arlington Robinson,empty,100
89,PG10363,,The Bravo: A Tale,"Cooper, James Fenimore",1789.0,1851.0,['en'],47,{'Venice (Italy) -- Fiction'},,The Bravo,Cooper,http://www.wikidata.org/entity/Q4095607,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q4095607,Q167856,James Fenimore Cooper,empty,100
90,PG10364,,Yeast: a Problem,"Kingsley, Charles",1819.0,1875.0,['en'],29,"{'Rural poor -- England -- Fiction', 'England -- Social conditions -- 19th century -- Fiction', 'Country life -- England -- Fiction'}",,Yeast,Kingsley,http://www.wikidata.org/entity/Q17059277,http://www.wikidata.org/entity/Q353238,1819.0,Charles Kingsley,Q17059277,Q353238,Charles Kingsley,empty,100
92,PG10365,,Precaution: A Novel,"Cooper, James Fenimore",1789.0,1851.0,['en'],20,{'England -- Social life and customs -- Fiction'},,Precaution,Cooper,http://www.wikidata.org/entity/Q4864841,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q4864841,Q167856,James Fenimore Cooper,empty,100
93,PG10368,,The Vizier of the Two-Horned Alexander,"Stockton, Frank R.",1834.0,1902.0,['en'],69,"{'Adventure stories', 'Immortalism -- Fiction', 'Fantasy fiction'}",,The Vizier of the Two-Horned Alexander,Stockton,http://www.wikidata.org/entity/Q124090548,http://www.wikidata.org/entity/Q1444002,1834.0,Frank R. Stockton,Q124090548,Q1444002,Frank R. Stockton,empty,100
94,PG1036,,Joe Wilson and His Mates,"Lawson, Henry",1867.0,1922.0,['en'],132,"{'Historical fiction', 'Frontier and pioneer life -- Australia -- Fiction', 'Australia -- Fiction'}",,Joe Wilson and His Mates,Lawson,http://www.wikidata.org/entity/Q28401667,http://www.wikidata.org/entity/Q453577,1867.0,Henry Lawson,Q28401667,Q453577,Henry Lawson,empty,100
95,PG10373,,The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863.0,1935.0,['en'],111,{'Detective and mystery stories'},,The Middle Temple Murder,Fletcher,http://www.wikidata.org/entity/Q124098237,http://www.wikidata.org/entity/Q548040,1863.0,J. S. Fletcher,Q124098237,Q548040,J. S. Fletcher,Joseph Smith Fletcher,100
97,PG26468,,The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863.0,1935.0,['en'],300,{'Detective and mystery stories'},,The Middle Temple Murder,Fletcher,http://www.wikidata.org/entity/Q124098237,http://www.wikidata.org/entity/Q548040,1863.0,J. S. Fletcher,Q124098237,Q548040,J. S. Fletcher,Joseph Smith Fletcher,100
99,PG10376,,American Indian Stories,Zitkala-Sa,1876.0,1938.0,['en'],1289,"{'Zitkala-Sa, 1876-1938', 'Yankton women -- Biography', 'Yankton Indians -- Government relations', 'Yankton Indians -- Social conditions'}",,American Indian Stories,Zitkala-Sa,http://www.wikidata.org/entity/Q4744113,http://www.wikidata.org/entity/Q2668090,1876.0,Zitkala-Sa,Q4744113,Q2668090,Zitkala-Sa,empty,100
100,PG10378,,Autobiography,"Mill, John Stuart",1806.0,1873.0,['en'],440,"{'Philosophers -- England -- Biography', 'Mill, John Stuart, 1806-1873'}",,Autobiography,Mill,http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q50020,1806.0,John Stuart Mill,Q19053628,Q50020,John Stuart Mill,empty,100
102,PG10381,,The History of a Crime: The Testimony of an Eye-Witness,"Hugo, Victor",1802.0,1885.0,['en'],535,{'France -- History -- 1789-1900'},,The History of a Crime,Hugo,http://www.wikidata.org/entity/Q3136618,http://www.wikidata.org/entity/Q535,1802.0,Victor Hugo,Q3136618,Q535,Victor Hugo,empty,100
103,PG103,,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],4460,"{'Adventure stories', 'Voyages around the world -- Fiction'}",,Around the World in Eighty Days,Verne,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828.0,Jules Verne,Q1219561,Q33977,Jules Verne,empty,100
105,PG28947,,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],316,"{'Adventure stories', 'Voyages around the world -- Fiction'}",,Around the World in Eighty Days,Verne,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828.0,Jules Verne,Q1219561,Q33977,Jules Verne,empty,100
107,PG10425,,Torquato Tasso: Ein Schauspiel,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],84,"{'Tasso, Torquato, 1544-1595 -- Drama'}",,Torquato Tasso,Goethe,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749.0,Johann Wolfgang von Goethe,Q1432001,Q5879,Johann Wolfgang von Goethe,empty,100
109,PG13328,,Torquato Tasso,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fi'],11,"{'Tasso, Torquato, 1544-1595 -- Drama'}",,Torquato Tasso,Goethe,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749.0,Johann Wolfgang von Goethe,Q1432001,Q5879,Johann Wolfgang von Goethe,empty,100
111,PG10429,,Miss Lulu Bett,"Gale, Zona",1874.0,1938.0,['en'],28,"{'Single women -- Fiction', 'Feminist fiction', 'Middle West -- Fiction', 'Housekeepers -- Fiction', 'Divorced women -- Fiction', 'Self-realization -- Fiction'}",,Miss Lulu Bett,Gale,http://www.wikidata.org/entity/Q246436,http://www.wikidata.org/entity/Q219829,1874.0,Zona Gale,Q246436,Q219829,Zona Gale,empty,100
114,PG10434,,"Wyandotté; Or, The Hutted Knoll: A Tale","Cooper, James Fenimore",1789.0,1851.0,['en'],17,"{'Otsego County (N.Y.) -- Fiction', 'New York (State) -- History -- Revolution, 1775-1783 -- Fiction', 'War stories', 'Historical fiction', 'Tuscarora Indians -- Fiction'}",,Wyandotté,Cooper,http://www.wikidata.org/entity/Q19239942,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q19239942,Q167856,James Fenimore Cooper,empty,100
115,PG1044,,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835.0,1910.0,['en'],240,"{'Voyages, Imaginary', 'Satire', 'Ship captains -- Fiction', 'Religious fiction', 'Heaven -- Fiction'}",,Extract from Captain Stormfield's Visit to Heaven,Twain,http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835.0,Mark Twain,Q1152137,Q7245,Mark Twain,empty,100
116,PG1045,,Venus and Adonis,"Shakespeare, William",1564.0,1616.0,['en'],179,"{'Venus (Roman deity) -- Poetry', 'Adonis (Greek deity) -- Poetry'}",,Venus and Adonis,Shakespeare,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q1066765,Q692,William Shakespeare,empty,100
117,PG10468,,Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],28,"{'Mystery and detective stories', 'Social classes -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Family -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Debutantes -- Juvenile fiction', 'Upper class -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces in Society,Baum,http://www.wikidata.org/entity/Q4821965,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821965,Q207544,L. Frank Baum,Lyman Frank Baum,100
118,PG1047,,The New Machiavelli,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],174,"{'Great Britain -- Politics and government -- Fiction', 'Adultery -- Fiction', 'Man-woman relationships -- Fiction', 'Political fiction'}",,The New Machiavelli,Wells,http://www.wikidata.org/entity/Q10381652,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q10381652,Q42511,H. G. Wells,Herbert George Wells,100
119,PG10481,,Rautatie,"Aho, Juhani",1861.0,1921.0,['fi'],28,{'Fiction'},,Rautatie,Aho,http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861.0,Juhani Aho,Q7296258,Q348623,Juhani Aho,empty,100
121,PG22786,,Rautatie,"Aho, Juhani",1861.0,1921.0,['fi'],56,{'Fiction'},,Rautatie,Aho,http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861.0,Juhani Aho,Q7296258,Q348623,Juhani Aho,empty,100
123,PG1051,,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795.0,1881.0,['en'],745,"{'Satire', 'Germany -- Fiction', 'Didactic fiction', 'Philosophers -- Fiction', 'Conduct of life -- Fiction', 'Humorous stories', 'Clothing and dress -- Fiction'}",,Sartor Resartus,Carlyle,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q151403,1795.0,Thomas Carlyle,Q1134140,Q151403,Thomas Carlyle,empty,100
125,PG20585,,"Sartor Resartus, and  On Heroes, Hero-Worship, and the Heroic in History","Carlyle, Thomas",1795.0,1881.0,['en'],111,"{'Satire', 'Germany -- Fiction', 'Didactic fiction', 'Philosophers -- Fiction', 'Heroes', 'Conduct of life -- Fiction', 'Clothing and dress -- Fiction'}",,Sartor Resartus,Carlyle,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q151403,1795.0,Thomas Carlyle,Q1134140,Q151403,Thomas Carlyle,empty,100
127,PG10540,,Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856.0,1923.0,['en'],49,"{'Mother and child -- Fiction', 'Families -- Fiction'}",,Mother Carey's Chickens,Wiggin,http://www.wikidata.org/entity/Q6917312,http://www.wikidata.org/entity/Q438241,1856.0,Kate Douglas Wiggin,Q6917312,Q438241,Kate Douglas Smith Wiggin,empty,86
129,PG10545,,"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789.0,1851.0,['en'],27,"{'Sea stories', 'Sealers (Persons) -- Fiction'}",,The Sea Lions,Cooper,http://www.wikidata.org/entity/Q23307980,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q23307980,Q167856,James Fenimore Cooper,empty,100
130,PG10556,,The Old Man in the Corner,"Orczy, Emmuska Orczy, Baroness",1865.0,1947.0,['en'],234,"{'Detective and mystery stories, English'}",,The Old Man in the Corner,Orczy,http://www.wikidata.org/entity/Q7754884,http://www.wikidata.org/entity/Q234530,1865.0,Emma Orczy,Q7754884,Q234530,Emmuska Orczy Orczy,empty,69
132,PG1056,,Martin Eden,"London, Jack",1876.0,1916.0,['en'],1052,"{'Autobiographical fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Young men -- Fiction', 'Bildungsromans'}",,Martin Eden,London,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q45765,1876.0,Jack London,Q1317839,Q45765,Jack London,empty,100
133,PG10581,,Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",1859.0,1930.0,['en'],23,"{'France -- History -- Consulate and First Empire, 1799-1815 -- Fiction'}",,Uncle Bernac,Doyle,http://www.wikidata.org/entity/Q48748249,http://www.wikidata.org/entity/Q35610,1859.0,Arthur Conan Doyle,Q48748249,Q35610,Arthur Conan Doyle,empty,100
134,PG1058,,The Mirror of the Sea,"Conrad, Joseph",1857.0,1924.0,['en'],282,"{'Seafaring life', 'Conrad, Joseph, 1857-1924 -- Travel'}",,The Mirror of the Sea,Conrad,http://www.wikidata.org/entity/Q18635229,http://www.wikidata.org/entity/Q82925,1857.0,Joseph Conrad,Q18635229,Q82925,Joseph Conrad,empty,100
136,PG1059,,The World Set Free,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],515,"{'Imaginary wars and battles -- Fiction', 'War stories', 'Nuclear warfare -- Fiction'}",,The World Set Free,Wells,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q5051290,Q42511,H. G. Wells,Herbert George Wells,100
137,PG105,,Persuasion,"Austen, Jane",1775.0,1817.0,['en'],5796,"{'Love stories', 'Ship captains -- Fiction', 'Motherless families -- Fiction', 'Young women -- Fiction', 'Psychological fiction', 'First loves -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Dysfunctional families -- Fiction', 'Rejection (Psychology) -- Fiction', 'Regency fiction'}",,Persuasion,Austen,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q36322,1775.0,Jane Austen,Q333179,Q36322,Jane Austen,empty,100
140,PG22963,,Persuasion,"Austen, Jane",1775.0,1817.0,['en'],298,"{'Love stories', 'Ship captains -- Fiction', 'Motherless families -- Fiction', 'Young women -- Fiction', 'Psychological fiction', 'First loves -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Dysfunctional families -- Fiction', 'Rejection (Psychology) -- Fiction', 'Regency fiction'}",,Persuasion,Austen,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q36322,1775.0,Jane Austen,Q333179,Q36322,Jane Austen,empty,100
