,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,F_name,M_name,name_match
1263,PG15099,,The Hoosier Schoolmaster: A Story of Backwoods Life in Indiana,"Eggleston, Edward",1837.0,1902.0,['en'],140,"{'Indiana -- Fiction', 'Country homes -- Fiction', 'Teachers -- Fiction'}",,The Hoosier Schoolmaster,Eggleston,http://www.wikidata.org/entity/Q7740231,http://www.wikidata.org/entity/Q1246814,1837.0,Edward Eggleston,Q7740231,Q1246814,Edward Eggleston,empty,100
1264,PG15100,,The Voyage of Governor Phillip to Botany Bay: With an Account of the Establishment of the Colonies of Port Jackson and Norfolk Island (1789),"Phillip, Arthur",1738.0,1814.0,['en'],77,"{'Norfolk Island', 'New South Wales -- Discovery and exploration', 'Natural history -- Australia -- New South Wales'}",,The Voyage of Governor Phillip to Botany Bay,Phillip,http://www.wikidata.org/entity/Q19101874,http://www.wikidata.org/entity/Q311548,1738.0,Arthur Phillip,Q19101874,Q311548,Arthur Phillip,empty,100
1265,PG151,,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],754,{'Poetry'},,The Rime of the Ancient Mariner,Coleridge,http://www.wikidata.org/entity/Q708177,http://www.wikidata.org/entity/Q82409,1772.0,Samuel Taylor Coleridge,Q708177,Q82409,Samuel Taylor Coleridge,empty,100
1267,PG21589,,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],18,{'Poetry'},,The Rime of the Ancient Mariner,Coleridge,http://www.wikidata.org/entity/Q708177,http://www.wikidata.org/entity/Q82409,1772.0,Samuel Taylor Coleridge,Q708177,Q82409,Samuel Taylor Coleridge,empty,100
1269,PG15226,,Nanon: La bibliothèque précieuse,"Sand, George",1804.0,1876.0,['fr'],20,{'French fiction -- 19th century'},,Nanon,Sand,http://www.wikidata.org/entity/Q40609887,http://www.wikidata.org/entity/Q3816,1804.0,George Sand,Q40609887,Q3816,George Sand,empty,100
1270,PG15238,,Mathilda,"Shelley, Mary Wollstonecraft",1797.0,1851.0,['en'],606,"{'Fathers and daughters -- Fiction', 'Guilt -- Fiction', 'Incest -- Fiction'}",,Mathilda,Shelley,http://www.wikidata.org/entity/Q3851863,http://www.wikidata.org/entity/Q47152,1797.0,Mary Shelley,Q3851863,Q47152,Mary Wollstonecraft Shelley,empty,62
1271,PG1525,,The Phoenix and the Turtle,"Shakespeare, William",1564.0,1616.0,['en'],54,{'Poetry'},,The Phoenix and the Turtle,Shakespeare,http://www.wikidata.org/entity/Q1196220,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q1196220,Q692,William Shakespeare,empty,100
1272,PG15263,,"The Underground Railroad: A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.","Still, William",1821.0,1902.0,['en'],624,"{'Fugitive slaves -- United States -- History -- 19th century', 'Underground Railroad', 'Abolitionists -- United States -- Biography', 'Antislavery movements -- United States -- History -- 19th century', 'Fugitive slaves -- United States -- Biography'}",,The Underground Railroad,Still,http://www.wikidata.org/entity/Q7771382,http://www.wikidata.org/entity/Q3568976,1821.0,William Still,Q7771382,Q3568976,William Still,empty,100
1273,PG15284,,The Tale of Johnny Town-Mouse,"Potter, Beatrix",1866.0,1943.0,['en'],182,"{'Folklore', 'Mice -- Fiction', 'Fables'}",,The Tale of Johnny Town-Mouse,Potter,http://www.wikidata.org/entity/Q6621583,http://www.wikidata.org/entity/Q214565,1866.0,Beatrix Potter,Q6621583,Q214565,Beatrix Potter,empty,100
1274,PG15335,,Madame Chrysanthème,"Loti, Pierre",1850.0,1923.0,['en'],37,{'Japan -- Fiction'},,Madame Chrysanthème,Loti,http://www.wikidata.org/entity/Q3275255,http://www.wikidata.org/entity/Q311854,1850.0,Pierre Loti,Q3275255,Q311854,Pierre Loti,empty,100
1276,PG18358,,Madame Chrysanthème,"Loti, Pierre",1850.0,1923.0,['fr'],15,{'Japan -- Fiction'},,Madame Chrysanthème,Loti,http://www.wikidata.org/entity/Q3275255,http://www.wikidata.org/entity/Q311854,1850.0,Pierre Loti,Q3275255,Q311854,Pierre Loti,empty,100
1278,PG15357,,The Notorious Mrs. Ebbsmith,"Pinero, Arthur Wing",1855.0,1934.0,['en'],12,"{'Man-woman relationships -- Drama', 'Great Britain -- Social conditions -- 19th century -- Drama', 'English drama -- 19th century', 'Marriage -- Drama', 'Adultery -- Drama'}",,The Notorious Mrs. Ebbsmith,Pinero,http://www.wikidata.org/entity/Q7754434,http://www.wikidata.org/entity/Q712073,1855.0,Arthur Wing Pinero,Q7754434,Q712073,Arthur Wing Pinero,empty,100
1288,PG15396,,Tender Buttons: Objects—Food—Rooms,"Stein, Gertrude",1874.0,1946.0,['en'],1100,{'Prose poems'},,Tender Buttons,Stein,http://www.wikidata.org/entity/Q7699617,http://www.wikidata.org/entity/Q188385,1874.0,Gertrude Stein,Q7699617,Q188385,Gertrude Stein,empty,100
1289,PG153,,Jude the Obscure,"Hardy, Thomas",1840.0,1928.0,['en'],1003,"{'Love stories', 'Didactic fiction', 'Children -- Death -- Fiction', 'Wessex (England) -- Fiction', 'Adultery -- Fiction', 'Unmarried couples -- Fiction', 'Illegitimate children -- Fiction', 'Stonemasons -- Fiction'}",,Jude the Obscure,Hardy,http://www.wikidata.org/entity/Q1248773,http://www.wikidata.org/entity/Q132805,1840.0,Thomas Hardy,Q1248773,Q132805,Thomas Hardy,empty,100
1290,PG15408,,"Three Lives: Stories of The Good Anna, Melanctha and The Gentle Lena","Stein, Gertrude",1874.0,1946.0,['en'],236,{'Working class women -- Fiction'},,Three Lives,Stein,http://www.wikidata.org/entity/Q7797597,http://www.wikidata.org/entity/Q188385,1874.0,Gertrude Stein,Q7797597,Q188385,Gertrude Stein,empty,100
1291,PG15410,,A Little Pilgrim in the Unseen,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],13,{'Death -- Fiction'},,A Little Pilgrim in the Unseen,Oliphant,http://www.wikidata.org/entity/Q124080889,http://www.wikidata.org/entity/Q2415217,1828.0,Margaret Oliphant,Q124080889,Q2415217,Mrs. Oliphant,Margaret Oliphant,100
1292,PG15411,,"A Voyage to the South Sea: Undertaken by command of His Majesty for the purpose of conveying the bread-fruit tree to the West Indies in His Majesty's ship the Bounty commanded by Lieutenant William Bligh; including an account of the mutiny on board the said ship and the subsequent voyage of part of the crew in the ship's boat from Tofoa, one of the Friendly Islands, to Timor, a Dutch settlement in the East Indies","Bligh, William",1754.0,1817.0,['en'],209,"{'Bounty Mutiny, 1789', 'Voyages and travels', 'Oceania -- Description and travel -- Early works to 1800', 'Bounty (Ship)'}",,A Voyage to the South Sea,Bligh,http://www.wikidata.org/entity/Q19027021,http://www.wikidata.org/entity/Q294147,1754.0,William Bligh,Q19027021,Q294147,William Bligh,empty,100
1293,PG15422,,Israel Potter: His Fifty Years of Exile,"Melville, Herman",1819.0,1891.0,['en'],61,"{'Potter, Israel, 1744-1826? -- Fiction'}",,Israel Potter,Melville,http://www.wikidata.org/entity/Q6087143,http://www.wikidata.org/entity/Q4985,1819.0,Herman Melville,Q6087143,Q4985,Herman Melville,empty,100
1294,PG15482,,The Primrose Ring,"Sawyer, Ruth",1880.0,1970.0,['en'],16,"{'Medical fiction', 'Fairy tales'}",,The Primrose Ring,Sawyer,http://www.wikidata.org/entity/Q16254272,http://www.wikidata.org/entity/Q4977173,1880.0,Ruth Sawyer,Q16254272,Q4977173,Ruth Sawyer,empty,100
1295,PG15487,,Democracy and Social Ethics,"Addams, Jane",1860.0,1935.0,['en'],164,"{'Social sciences', 'United States -- Social conditions -- 1865-1918', 'Social ethics'}",,Democracy and Social Ethics,Addams,http://www.wikidata.org/entity/Q3043518,http://www.wikidata.org/entity/Q180989,1860.0,Jane Addams,Q3043518,Q180989,Jane Addams,empty,100
1296,PG15489,,Dream Psychology: Psychoanalysis for Beginners,"Freud, Sigmund",1856.0,1939.0,['en'],767,"{'Psychoanalysis', 'Dreams'}",,Dream Psychology,Freud,http://www.wikidata.org/entity/Q19114775,http://www.wikidata.org/entity/Q9215,1856.0,Sigmund Freud,Q19114775,Q9215,Sigmund Freud,empty,100
1297,PG15491,,Micrographia: Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses with Observations and Inquiries Thereupon,"Hooke, Robert",1635.0,1703.0,['en'],683,"{'Microscopy -- Early works to 1800', 'Magnifying glasses -- Early works to 1800', 'Natural history -- Pre-Linnean works'}",,Micrographia,Hooke,http://www.wikidata.org/entity/Q2469465,http://www.wikidata.org/entity/Q46830,1635.0,Robert Hooke,Q2469465,Q46830,Robert Hooke,empty,100
1298,PG15493,,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1805.0,1882.0,['en'],191,"{'Witches -- Fiction', 'Lancashire (England) -- Fiction'}",,The Lancashire Witches,Ainsworth,http://www.wikidata.org/entity/Q7745322,http://www.wikidata.org/entity/Q518359,1805.0,William Harrison Ainsworth,Q7745322,Q518359,William Harrison Ainsworth,empty,100
1299,PG154,,The Rise of Silas Lapham,"Howells, William Dean",1837.0,1920.0,['en'],399,"{'Socialites -- Fiction', 'Domestic fiction', 'Psychological fiction', 'Boston (Mass.) -- Fiction', 'Businessmen -- Fiction', 'Rich people -- Fiction'}",,The Rise of Silas Lapham,Howells,http://www.wikidata.org/entity/Q7760892,http://www.wikidata.org/entity/Q526709,1837.0,William Dean Howells,Q7760892,Q526709,William Dean Howells,empty,100
