,author,birthYear,authorLabel,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,deathYear
0,http://www.wikidata.org/entity/Q237196,1856,H. Rider Haggard,male,United Kingdom of Great Britain and Ireland,,,1925
0,http://www.wikidata.org/entity/Q507991,1869,Algernon Blackwood,male,United Kingdom,,,1951
1,http://www.wikidata.org/entity/Q507991,1869,Algernon Blackwood,male,United Kingdom of Great Britain and Ireland,,,1951
0,http://www.wikidata.org/entity/Q462363,1830,Helen Hunt Jackson,female,United States of America,,,1885
0,http://www.wikidata.org/entity/Q44519,1858,Selma Lagerlöf,female,Sweden,Lutheranism,Swedish,1940
0,http://www.wikidata.org/entity/Q763341,1875,Jacques Futrelle,male,United States of America,,,1912
0,http://www.wikidata.org/entity/Q447240,1864,Elinor Glyn,female,United Kingdom,,British English,1943
0,http://www.wikidata.org/entity/Q40826,1859,Knut Hamsun,male,Norway,,,1952
0,http://www.wikidata.org/entity/Q893138,1869,Booth Tarkington,male,United States of America,,,1946
0,http://www.wikidata.org/entity/Q478450,1871,James Weldon Johnson,male,United States of America,,,1938
0,http://www.wikidata.org/entity/Q154211,1820,Multatuli,male,Kingdom of the Netherlands,,Dutch,1887
0,http://www.wikidata.org/entity/Q944063,1813,Harriet Jacobs,female,United States of America,,,1897
0,http://www.wikidata.org/entity/Q311854,1850,Pierre Loti,male,France,,French,1923
0,http://www.wikidata.org/entity/Q47484,1869,André Gide,male,France,,French,1951
0,http://www.wikidata.org/entity/Q9711,1799,Honoré de Balzac,male,France,Catholicism,French,1850
0,http://www.wikidata.org/entity/Q276032,1862,Edith Wharton,female,United States of America,,,1937
0,http://www.wikidata.org/entity/Q42443,1844,Anatole France,male,France,,French,1924
0,http://www.wikidata.org/entity/Q126596,1778,William Hazlitt,male,United Kingdom of Great Britain and Ireland,,,1830
0,http://www.wikidata.org/entity/Q460366,1876,Mary Roberts Rinehart,female,United States of America,,,1958
0,http://www.wikidata.org/entity/Q2065950,1862,R. Austin Freeman,male,United Kingdom,,,1943
