,Unnamed: 0.1,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear_x,authorLabel_x,book_QN,author_QN,index,birthYear_y,workLabel,authorLabel_y,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,PublicationYear,deathYear,deathYearMatch,,
12,12,10,PG10148,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853,1911,['en'],1346,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,Q7751092,Q525713,0,1853,The Merry Adventures of Robin Hood,Howard Pyle,male,United States of America,Quakers,American English,1883,1911,1,,
13,13,170,PG964,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853,1911,['en'],1201,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,Q7751092,Q525713,0,1853,The Merry Adventures of Robin Hood,Howard Pyle,male,United States of America,Quakers,American English,1883,1911,1,,
14,14,15,PG10150,,Dracula's Guest,"Stoker, Bram",1847,1912,['en'],1463,"{'Short stories', 'Horror tales', 'Gothic fiction'}",,Dracula's Guest,Stoker,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q36184,1847,Bram Stoker,Q20726020,Q36184,0,1847,Dracula's Guest,Bram Stoker,male,United Kingdom of Great Britain and Ireland,,,1914,1912,1,,
15,15,16,PG10165,,Across the Zodiac: The Story of a Wrecked Record,"Greg, Percy",1836,1889,['en'],87,{'Science fiction'},,Across the Zodiac,Greg,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q7167372,1836,Percy Greg,Q4676516,Q7167372,0,1836,Across the Zodiac,Percy Greg,male,United Kingdom of Great Britain and Ireland,,,1880,1889,1,,
16,16,17,PG1017,,The Soul of Man under Socialism,"Wilde, Oscar",1854,1900,['en'],506,{'Socialism'},,The Soul of Man under Socialism,Wilde,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q30875,1854,Oscar Wilde,Q1196990,Q30875,0,1854,The Soul of Man under Socialism,Oscar Wilde,male,Republic of Ireland,Roman Catholic,English,1891,1900,1,,
17,17,18,PG10217,,The Land of Little Rain,"Austin, Mary",1868,1934,['en'],22,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868,Mary Hunter Austin,Q7745380,Q477999,0,1868,The Land of Little Rain,Mary Hunter Austin,female,United States of America,,,1903,1934,1,,
18,18,624,PG51893,,The Land of Little Rain,"Austin, Mary",1868,1934,['en'],82,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868,Mary Hunter Austin,Q7745380,Q477999,0,1868,The Land of Little Rain,Mary Hunter Austin,female,United States of America,,,1903,1934,1,,
19,19,30,PG1023,,Bleak House,"Dickens, Charles",1812,1870,['en'],2537,"{'Domestic fiction', 'Young women -- Fiction', 'Inheritance and succession -- Fiction', 'Guardian and ward -- Fiction', 'Illegitimate children -- Fiction', 'Bildungsromans', 'Legal stories', 'London (England) -- Fiction'}",,Bleak House,Dickens,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812,Charles Dickens,Q883305,Q5686,0,1812,Bleak House,Charles Dickens,male,United Kingdom of Great Britain and Ireland,Anglicanism,British English,1853,1870,1,,
20,20,206,PG9695,,Bleak House,"Dickens, Charles",1812,1870,['en'],49,"{'Domestic fiction', 'Young women -- Fiction', 'Inheritance and succession -- Fiction', 'Guardian and ward -- Fiction', 'Illegitimate children -- Fiction', 'Bildungsromans', 'Legal stories', 'London (England) -- Fiction'}",,Bleak House,Dickens,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812,Charles Dickens,Q883305,Q5686,0,1812,Bleak House,Charles Dickens,male,United Kingdom of Great Britain and Ireland,Anglicanism,British English,1853,1870,1,,
21,21,31,PG1024,,The Wrecker,"Osbourne, Lloyd",1868,1947,['en'],172,"{'Avarice -- Fiction', 'Shipwrecks -- Fiction', 'Treasure troves -- Fiction'}",,The Wrecker,Osbourne,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868,Lloyd Osbourne,Q2753955,Q1387643,0,1868,The Wrecker,Lloyd Osbourne,male,United States of America,,,1892,1947,1,,
22,22,36,PG1027,,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872,1939,['en'],264,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",,The Lone Star Ranger,Grey,http://www.wikidata.org/entity/Q16386740,http://www.wikidata.org/entity/Q146763,1872,Zane Grey,Q16386740,Q146763,0,1872,The Lone Star Ranger,Zane Grey,male,United States of America,,,1915,1939,1,,
23,23,37,PG1028,,The Professor,"Brontë, Charlotte",1816,1855,['en'],404,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'Brussels (Belgium) -- Fiction', 'British -- Belgium -- Fiction', 'Women teachers -- Fiction'}",,The Professor,Brontë,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/entity/Q127332,1816,Charlotte Brontë,Q762203,Q127332,0,1816,The Professor,Charlotte Brontë,female,United Kingdom of Great Britain and Ireland,Anglicanism,,1857,1855,1,,
24,24,39,PG10291,,In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866,1946,['en'],24,"{'World War, 1914-1918 -- Peace', 'Democracy', 'League of Nations'}",,In the Fourth Year,Wells,http://www.wikidata.org/entity/Q6012178,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q6012178,Q42511,0,1866,In the Fourth Year,H. G. Wells,male,United Kingdom,,English,1918,1946,1,,
25,25,40,PG1029,,The Night-Born,"London, Jack",1876,1916,['en'],225,"{'Short stories', 'Adventure and adventurers -- Fiction'}",,The Night-Born,London,http://www.wikidata.org/entity/Q78289676,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q78289676,Q45765,0,1876,The Night-Born,Jack London,male,United States of America,atheism,,1911,1916,1,,
26,26,41,PG1032,,The Pupil,"James, Henry",1843,1916,['en'],163,{'Fiction'},,The Pupil,James,http://www.wikidata.org/entity/Q7758766,http://www.wikidata.org/entity/Q170509,1843,Henry James,Q7758766,Q170509,0,1843,The Pupil,Henry James,male,United States of America,,English,1891,1916,1,,
27,27,42,PG10337,,Lady into Fox,"Garnett, David",1892,1981,['en'],114,"{'Metamorphosis -- Fiction', 'Fantasy fiction, English', 'Foxes -- Fiction'}",,Lady into Fox,Garnett,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q704860,1892,David Garnett,Q6470665,Q704860,0,1892,Lady into Fox,David Garnett,male,United Kingdom,,,1922,1981,1,,
28,28,43,PG10339,,An Antarctic Mystery,"Verne, Jules",1828,1905,['en'],196,{'Antarctica -- Discovery and exploration -- Fiction'},,An Antarctic Mystery,Verne,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,Q1212137,Q33977,0,1828,An Antarctic Mystery,Jules Verne,male,France,Catholicism,French,1897,1905,1,,
29,29,44,PG10345,,Domestic Manners of the Americans,"Trollope, Frances Milton",1780,1863,['en'],172,"{'United States -- Social life and customs -- 1783-1865', 'Trollope, Frances Milton, 1780-1863 -- Travel -- United States', 'United States -- Description and travel', 'United States -- Social conditions -- To 1865'}",,Domestic Manners of the Americans,Trollope,http://www.wikidata.org/entity/Q5290161,http://www.wikidata.org/entity/Q271961,1780,Frances Trollope,Q5290161,Q271961,0,1780,Domestic Manners of the Americans,Frances Trollope,female,United Kingdom,,,1832,1863,1,,
30,30,78,PG10359,,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],26,"{'Stocks -- Juvenile fiction', 'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces at Millville,Baum,http://www.wikidata.org/entity/Q4821963,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821963,Q207544,0,1856,Aunt Jane's Nieces at Millville,L. Frank Baum,male,United States of America,,English,1908,1919,1,,
31,31,80,PG10363,,The Bravo: A Tale,"Cooper, James Fenimore",1789,1851,['en'],47,{'Venice (Italy) -- Fiction'},,The Bravo,Cooper,http://www.wikidata.org/entity/Q4095607,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q4095607,Q167856,0,1789,The Bravo,James Fenimore Cooper,male,United States of America,,English,1831,1851,1,,
32,32,83,PG10365,,Precaution: A Novel,"Cooper, James Fenimore",1789,1851,['en'],20,{'England -- Social life and customs -- Fiction'},,Precaution,Cooper,http://www.wikidata.org/entity/Q4864841,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q4864841,Q167856,0,1789,Precaution,James Fenimore Cooper,male,United States of America,,English,1820,1851,1,,
33,33,84,PG10368,,The Vizier of the Two-Horned Alexander,"Stockton, Frank R.",1834,1902,['en'],69,"{'Adventure stories', 'Immortalism -- Fiction', 'Fantasy fiction'}",,The Vizier of the Two-Horned Alexander,Stockton,http://www.wikidata.org/entity/Q124090548,http://www.wikidata.org/entity/Q1444002,1834,Frank R. Stockton,Q124090548,Q1444002,0,1834,The Vizier of the Two-Horned Alexander,Frank R. Stockton,male,United States of America,,,1899,1902,1,,
34,34,90,PG10376,,American Indian Stories,Zitkala-Sa,1876,1938,['en'],1289,"{'Zitkala-Sa, 1876-1938', 'Yankton women -- Biography', 'Yankton Indians -- Government relations', 'Yankton Indians -- Social conditions'}",,American Indian Stories,Zitkala-Sa,http://www.wikidata.org/entity/Q4744113,http://www.wikidata.org/entity/Q2668090,1876,Zitkala-Sa,Q4744113,Q2668090,0,1876,American Indian Stories,Zitkala-Sa,female,United States of America,,Sioux,1921,1938,1,,
35,35,91,PG10378,,Autobiography,"Mill, John Stuart",1806,1873,['en'],440,"{'Philosophers -- England -- Biography', 'Mill, John Stuart, 1806-1873'}",,Autobiography,Mill,http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q50020,1806,John Stuart Mill,Q19053628,Q50020,0,1806,Autobiography,John Stuart Mill,male,United Kingdom of Great Britain and Ireland,atheism,English,1874,1873,1,,
36,36,94,PG103,,Around the World in Eighty Days,"Verne, Jules",1828,1905,['en'],4460,"{'Adventure stories', 'Voyages around the world -- Fiction'}",,Around the World in Eighty Days,Verne,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,Q1219561,Q33977,0,1828,Around the World in Eighty Days,Jules Verne,male,France,Catholicism,French,1872,1905,1,,
37,37,934,PG8982,,Around the World in Eighty Days,"Verne, Jules",1828,1905,['en'],20,"{'Adventure stories', 'Voyages around the world -- Fiction'}",,Around the World in Eighty Days,Verne,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,Q1219561,Q33977,0,1828,Around the World in Eighty Days,Jules Verne,male,France,Catholicism,French,1872,1905,1,,
38,38,98,PG10425,,Torquato Tasso: Ein Schauspiel,"Goethe, Johann Wolfgang von",1749,1832,['de'],84,"{'Tasso, Torquato, 1544-1595 -- Drama'}",,Torquato Tasso,Goethe,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749,Johann Wolfgang von Goethe,Q1432001,Q5879,0,1749,Torquato Tasso,Johann Wolfgang von Goethe,male,Saxe-Weimar-Eisenach,Lutheranism,German,1790,1832,1,,
39,39,102,PG10429,,Miss Lulu Bett,"Gale, Zona",1874,1938,['en'],28,"{'Single women -- Fiction', 'Feminist fiction', 'Middle West -- Fiction', 'Housekeepers -- Fiction', 'Divorced women -- Fiction', 'Self-realization -- Fiction'}",,Miss Lulu Bett,Gale,http://www.wikidata.org/entity/Q246436,http://www.wikidata.org/entity/Q219829,1874,Zona Gale,Q246436,Q219829,0,1874,Miss Lulu Bett,Zona Gale,female,United States of America,,,1921,1938,1,,
40,40,106,PG1044,,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835,1910,['en'],240,"{'Voyages, Imaginary', 'Satire', 'Ship captains -- Fiction', 'Religious fiction', 'Heaven -- Fiction'}",,Extract from Captain Stormfield's Visit to Heaven,Twain,http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835,Mark Twain,Q1152137,Q7245,0,1835,Extract from Captain Stormfield's Visit to Heaven,Mark Twain,male,United States of America,atheism,,1909,1910,1,,
41,41,943,PG9004,,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835,1910,['en'],11,"{'Voyages, Imaginary', 'Satire', 'Ship captains -- Fiction', 'Religious fiction', 'Heaven -- Fiction'}",,Extract from Captain Stormfield's Visit to Heaven,Twain,http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835,Mark Twain,Q1152137,Q7245,0,1835,Extract from Captain Stormfield's Visit to Heaven,Mark Twain,male,United States of America,atheism,,1909,1910,1,,
42,42,107,PG1045,,Venus and Adonis,"Shakespeare, William",1564,1616,['en'],179,"{'Venus (Roman deity) -- Poetry', 'Adonis (Greek deity) -- Poetry'}",,Venus and Adonis,Shakespeare,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q692,1564,William Shakespeare,Q1066765,Q692,0,1564,Venus and Adonis,William Shakespeare,male,Kingdom of England,,Early Modern English,1593,1616,1,,
43,43,108,PG10468,,Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],28,"{'Mystery and detective stories', 'Social classes -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Family -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Debutantes -- Juvenile fiction', 'Upper class -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces in Society,Baum,http://www.wikidata.org/entity/Q4821965,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821965,Q207544,0,1856,Aunt Jane's Nieces in Society,L. Frank Baum,male,United States of America,,English,1910,1919,1,,
44,44,110,PG10481,,Rautatie,"Aho, Juhani",1861,1921,['fi'],28,{'Fiction'},,Rautatie,Aho,http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861,Juhani Aho,Q7296258,Q348623,0,1861,Rautatie,Juhani Aho,male,Finland,,Finnish,1884,1921,1,,
45,45,114,PG1051,,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795,1881,['en'],745,"{'Satire', 'Germany -- Fiction', 'Didactic fiction', 'Philosophers -- Fiction', 'Conduct of life -- Fiction', 'Humorous stories', 'Clothing and dress -- Fiction'}",,Sartor Resartus,Carlyle,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q151403,1795,Thomas Carlyle,Q1134140,Q151403,0,1795,Sartor Resartus,Thomas Carlyle,male,Kingdom of Great Britain,,,1833,1881,1,,
46,46,118,PG10540,,Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856,1923,['en'],49,"{'Mother and child -- Fiction', 'Families -- Fiction'}",,Mother Carey's Chickens,Wiggin,http://www.wikidata.org/entity/Q6917312,http://www.wikidata.org/entity/Q438241,1856,Kate Douglas Wiggin,Q6917312,Q438241,0,1856,Mother Carey's Chickens,Kate Douglas Wiggin,female,United States of America,,,1910,1923,1,,
47,47,119,PG10545,,"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789,1851,['en'],27,"{'Sea stories', 'Sealers (Persons) -- Fiction'}",,The Sea Lions,Cooper,http://www.wikidata.org/entity/Q23307980,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q23307980,Q167856,0,1789,The Sea Lions,James Fenimore Cooper,male,United States of America,,English,1849,1851,1,,
48,48,120,PG10556,,The Old Man in the Corner,"Orczy, Emmuska Orczy, Baroness",1865,1947,['en'],234,"{'Detective and mystery stories, English'}",,The Old Man in the Corner,Orczy,http://www.wikidata.org/entity/Q7754884,http://www.wikidata.org/entity/Q234530,1865,Emma Orczy,Q7754884,Q234530,0,1865,The Old Man in the Corner,Emma Orczy,female,United Kingdom,,,1908,1947,1,,
49,49,122,PG1056,,Martin Eden,"London, Jack",1876,1916,['en'],1052,"{'Autobiographical fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Young men -- Fiction', 'Bildungsromans'}",,Martin Eden,London,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q1317839,Q45765,0,1876,Martin Eden,Jack London,male,United States of America,atheism,,1909,1916,1,,
50,50,290,PG47155,,Martin Eden: Romaani,"London, Jack",1876,1916,['fi'],36,"{'Autobiographical fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Young men -- Fiction', 'Bildungsromans'}",,Martin Eden,London,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q1317839,Q45765,0,1876,Martin Eden,Jack London,male,United States of America,atheism,,1909,1916,1,,
51,51,123,PG10581,,Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",1859,1930,['en'],23,"{'France -- History -- Consulate and First Empire, 1799-1815 -- Fiction'}",,Uncle Bernac,Doyle,http://www.wikidata.org/entity/Q48748249,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,Q48748249,Q35610,0,1859,Uncle Bernac,Arthur Conan Doyle,male,United Kingdom,spiritism,English,1904,1930,1,,
52,52,124,PG1058,,The Mirror of the Sea,"Conrad, Joseph",1857,1924,['en'],282,"{'Seafaring life', 'Conrad, Joseph, 1857-1924 -- Travel'}",,The Mirror of the Sea,Conrad,http://www.wikidata.org/entity/Q18635229,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,Q18635229,Q82925,0,1857,The Mirror of the Sea,Joseph Conrad,male,United Kingdom,atheism,,1906,1924,1,,
53,53,59,PG9353,,The Mirror of the Sea,"Conrad, Joseph",1857,1924,['en'],9,"{'Seafaring life', 'Conrad, Joseph, 1857-1924 -- Travel'}",,The Mirror of the Sea,Conrad,http://www.wikidata.org/entity/Q18635229,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,Q18635229,Q82925,0,1857,The Mirror of the Sea,Joseph Conrad,male,United Kingdom,atheism,,1906,1924,1,,
54,54,126,PG1059,,The World Set Free,"Wells, H. G. (Herbert George)",1866,1946,['en'],515,"{'Imaginary wars and battles -- Fiction', 'War stories', 'Nuclear warfare -- Fiction'}",,The World Set Free,Wells,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q5051290,Q42511,0,1866,The World Set Free,H. G. Wells,male,United Kingdom,,English,1914,1946,1,,
55,55,922,PG8968,,The World Set Free,"Wells, H. G. (Herbert George)",1866,1946,['en'],20,"{'Imaginary wars and battles -- Fiction', 'War stories', 'Nuclear warfare -- Fiction'}",,The World Set Free,Wells,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q5051290,Q42511,0,1866,The World Set Free,H. G. Wells,male,United Kingdom,,English,1914,1946,1,,
56,56,127,PG105,,Persuasion,"Austen, Jane",1775,1817,['en'],5796,"{'Love stories', 'Ship captains -- Fiction', 'Motherless families -- Fiction', 'Young women -- Fiction', 'Psychological fiction', 'First loves -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Dysfunctional families -- Fiction', 'Rejection (Psychology) -- Fiction', 'Regency fiction'}",,Persuasion,Austen,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q36322,1775,Jane Austen,Q333179,Q36322,0,1775,Persuasion,Jane Austen,female,Kingdom of Great Britain,Anglicanism,English,1817,1817,1,,
57,57,136,PG1063,,The Cask of Amontillado,"Poe, Edgar Allan",1809,1849,['en'],1608,"{'Revenge -- Fiction', 'Horror tales, American'}",,The Cask of Amontillado,Poe,http://www.wikidata.org/entity/Q1130590,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,Q1130590,Q16867,0,1809,The Cask of Amontillado,Edgar Allan Poe,male,United States of America,,American English,1846,1849,1,,
58,58,137,PG1064,,The Masque of the Red Death,"Poe, Edgar Allan",1809,1849,['en'],2675,"{'Horror tales, American'}",,The Masque of the Red Death,Poe,http://www.wikidata.org/entity/Q766086,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,Q766086,Q16867,0,1809,The Masque of the Red Death,Edgar Allan Poe,male,United States of America,,American English,1842,1849,1,,
