,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
2635,PG2432,,Barchester Towers,"Trollope, Anthony",1815,1882,['en'],72,"{'Clergy -- Fiction', 'Domestic fiction', 'Barchester (England : Imaginary place) -- Fiction', 'Barsetshire (England: Imaginary place) -- Fiction'}",,Barchester Towers,Trollope,http://www.wikidata.org/entity/Q4859885,http://www.wikidata.org/entity/Q318399,1815,Anthony Trollope,Q4859885,Q318399
2644,PG2434,,New Atlantis,"Bacon, Francis",1561,1626,['en'],825,{'Utopias -- Early works to 1800'},,New Atlantis,Bacon,http://www.wikidata.org/entity/Q1233830,http://www.wikidata.org/entity/Q37388,1561,Francis Bacon,Q1233830,Q37388
2645,PG24353,,Wired Love: A Romance of Dots and Dashes,"Thayer, Ella Cheever",1849,1925,['en'],154,"{'Love stories', 'Telegraphers -- Fiction'}",,Wired Love,Thayer,http://www.wikidata.org/entity/Q109266797,http://www.wikidata.org/entity/Q5364476,1849,Ella Cheever Thayer,Q109266797,Q5364476
2646,PG24379,,The Admiral's Caravan,"Carryl, Charles E. (Charles Edward)",1841,1920,['en'],13,{'Fairy tales'},,The Admiral's Caravan,Carryl,http://www.wikidata.org/entity/Q7712390,http://www.wikidata.org/entity/Q5077060,1841,Charles E. Carryl,Q7712390,Q5077060
2647,PG2437,,They and I,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,['en'],60,{'Country life -- Fiction'},,They and I,Jerome,http://www.wikidata.org/entity/Q3837179,http://www.wikidata.org/entity/Q218698,1859,Jerome K. Jerome,Q3837179,Q218698
2649,PG24392,,Cat and Mouse,"Williams, Ralph",1914,1959,['en'],14,"{'Hunting stories', 'Alaska -- Fiction', 'Science fiction'}",,Cat and Mouse,Williams,http://www.wikidata.org/entity/Q22058502,http://www.wikidata.org/entity/Q59265161,1914,Ralph Williams,Q22058502,Q59265161
2650,PG243,,"The Forged Coupon, and Other Stories","Tolstoy, Leo, graf",1828,1910,['en'],294,"{'Short stories, Russian -- Translations into English', 'Russian fiction -- Translations into English', 'Tolstoy, Leo, graf, 1828-1910 -- Translations into English'}",,The Forged Coupon,Tolstoy,http://www.wikidata.org/entity/Q1134252,http://www.wikidata.org/entity/Q7243,1828,Leo Tolstoy,Q1134252,Q7243
2651,PG2440,,The Naturalist on the River Amazons,"Bates, Henry Walter",1825,1892,['en'],94,"{'Natural history -- Amazon River Valley', 'Amazon River Valley -- Description and travel', 'Indians of South America -- Brazil -- Social life and customs', 'Bates, Henry Walter, 1825-1892 -- Travel -- Amazon River Valley'}",,The Naturalist on the River Amazons,Bates,http://www.wikidata.org/entity/Q7753268,http://www.wikidata.org/entity/Q370308,1825,Henry Walter Bates,Q7753268,Q370308
2652,PG2447,,Eminent Victorians,"Strachey, Lytton",1880,1932,['en'],178,"{'Great Britain -- History -- Victoria, 1837-1901 -- Biography', 'Arnold, Thomas, 1795-1842', 'Nightingale, Florence, 1820-1910', 'Manning, Henry Edward, 1808-1892', 'Great Britain -- Biography', 'Gordon, Charles George, 1833-1885'}",,Eminent Victorians,Strachey,http://www.wikidata.org/entity/Q5372505,http://www.wikidata.org/entity/Q540427,1880,Lytton Strachey,Q5372505,Q540427
2653,PG24499,,The Green Carnation,"Hichens, Robert",1864,1950,['en'],36,"{'Authors -- Fiction', 'Gay men -- Fiction', 'Ireland -- Fiction', 'Biographical fiction', 'London (England) -- Fiction', 'Wilde, Oscar, 1854-1900 -- Fiction'}",,The Green Carnation,Hichens,http://www.wikidata.org/entity/Q7738140,http://www.wikidata.org/entity/Q2037944,1864,Robert Smythe Hichens,Q7738140,Q2037944
2654,PG2449,,The Common Law,"Holmes, Oliver Wendell",1841,1935,['en'],927,{'Common law'},,The Common Law,Holmes,http://www.wikidata.org/entity/Q7727010,http://www.wikidata.org/entity/Q360574,1841,Oliver Wendell Holmes,Q7727010,Q360574
2656,PG244,,A Study in Scarlet,"Doyle, Arthur Conan",1859,1930,['en'],8321,"{'Detective and mystery stories', 'England -- Fiction', 'Private investigators -- England -- Fiction', 'Holmes, Sherlock (Fictitious character) -- Fiction'}",,A Study in Scarlet,Doyle,http://www.wikidata.org/entity/Q223131,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,Q223131,Q35610
2657,PG2450,,Boyhood,"Tolstoy, Leo, graf",1828,1910,['en'],83,"{'Autobiographical fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Russia -- History -- 1801-1917 -- Fiction', 'Tolstoy, Leo, graf, 1828-1910 -- Childhood and youth -- Fiction'}",,Boyhood,Tolstoy,http://www.wikidata.org/entity/Q965704,http://www.wikidata.org/entity/Q7243,1828,Leo Tolstoy,Q965704,Q7243
2658,PG24525,,Karlo: Facila Legolibro por la Lernado de Esperanto,"Privat, Edmond",1889,1962,['eo'],48,"{'Esperanto -- Readers', 'Esperanto'}",,Karlo,Privat,http://www.wikidata.org/entity/Q12350508,http://www.wikidata.org/entity/Q12571,1889,Edmond Privat,Q12350508,Q12571
2659,PG24574,,Loss and Gain: The Story of a Convert,"Newman, John Henry",1801,1890,['en'],79,"{'Christianity, Conversion to -- Fiction', 'Christian fiction'}",,Loss and Gain,Newman,http://www.wikidata.org/entity/Q3259809,http://www.wikidata.org/entity/Q44490,1801,John Henry Newman,Q3259809,Q44490
2660,PG245,,Life on the Mississippi,"Twain, Mark",1835,1910,['en'],2235,"{'Authors, American -- 19th century -- Biography', 'Twain, Mark, 1835-1910 -- Travel -- Mississippi River', 'Pilots and pilotage -- Mississippi River', 'Mississippi River -- Description and travel', 'Mississippi River Valley -- Social life and customs -- 19th century'}",,Life on the Mississippi,Twain,http://www.wikidata.org/entity/Q1131648,http://www.wikidata.org/entity/Q7245,1835,Mark Twain,Q1131648,Q7245
2661,PG24622,,The Pianolist: A Guide for Pianola Players,"Kobbé, Gustav",1857,1918,['en'],38,"{'Pianola', 'Music -- Instruction and study'}",,The Pianolist,Kobbé,http://www.wikidata.org/entity/Q112326730,http://www.wikidata.org/entity/Q1556094,1857,Gustav Kobbé,Q112326730,Q1556094
2662,PG2465,,Carmen,"Mérimée, Prosper",1803,1870,['en'],578,"{'Spain -- Social life and customs -- 19th century -- Fiction', 'Carmen (Fictitious character) -- Fiction'}",,Carmen,Mérimée,http://www.wikidata.org/entity/Q674832,http://www.wikidata.org/entity/Q160333,1803,Prosper Mérimée,Q674832,Q160333
2663,PG2465,,Carmen,"Mérimée, Prosper",1803,1870,['en'],578,"{'Spain -- Social life and customs -- 19th century -- Fiction', 'Carmen (Fictitious character) -- Fiction'}",,Carmen,Mérimée,http://www.wikidata.org/entity/Q25706718,http://www.wikidata.org/entity/Q160333,1803,Prosper Mérimée,Q25706718,Q160333
2670,PG2466,,Virgin Soil,"Turgenev, Ivan Sergeevich",1818,1883,['en'],122,"{'Russia -- Social life and customs -- Fiction', 'Russia -- Politics and government -- 1801-1917 -- Fiction', 'Country homes -- Fiction', 'Revolutionaries -- Russia -- Fiction'}",,Virgin Soil,Turgenev,http://www.wikidata.org/entity/Q3518729,http://www.wikidata.org/entity/Q42831,1818,Ivan Turgenev,Q3518729,Q42831
2671,PG2472,,White Lies,"Reade, Charles",1814,1884,['en'],58,"{'Marriage -- Fiction', 'France -- History -- Wars of the Vendée, 1793-1832 -- Fiction'}",,White Lies,Reade,http://www.wikidata.org/entity/Q110048780,http://www.wikidata.org/entity/Q247473,1814,Charles Reade,Q110048780,Q247473
2672,PG2480,,Under Western Eyes,"Conrad, Joseph",1857,1924,['en'],379,"{'Terrorism -- Fiction', 'Geneva (Switzerland) -- Fiction', 'Political fiction', 'Russia -- History -- 1904-1914 -- Fiction', 'Saint Petersburg (Russia) -- Fiction', 'Bombings -- Fiction', 'College students -- Fiction'}",,Under Western Eyes,Conrad,http://www.wikidata.org/entity/Q3685905,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,Q3685905,Q82925
2673,PG24812,,The Three Midshipmen,"Kingston, William Henry Giles",1814,1880,['en'],40,"{'Slave trade -- Fiction', 'Africa -- Fiction'}",,The Three Midshipmen,Kingston,http://www.wikidata.org/entity/Q124090421,http://www.wikidata.org/entity/Q32829,1814,William Henry Giles Kingston,Q124090421,Q32829
2674,PG24823,,Silas Marner,"Eliot, George",1819,1880,['es'],42,"{'Foundlings -- Fiction', 'Fathers and daughters -- Fiction', 'Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'England -- Fiction', 'Weavers -- Fiction', 'Adopted children -- Fiction'}",,Silas Marner,Eliot,http://www.wikidata.org/entity/Q638327,http://www.wikidata.org/entity/Q131333,1819,George Eliot,Q638327,Q131333
2678,PG24830,,Beatrice,"Haggard, H. Rider (Henry Rider)",1856,1925,['nl'],26,{'English fiction'},,Beatrice,Haggard,http://www.wikidata.org/entity/Q16239004,http://www.wikidata.org/entity/Q237196,1856,H. Rider Haggard,Q16239004,Q237196
2682,PG24839,,The Blonde Lady: Being a Record of the Duel of Wits between Arsène Lupin and the English Detective,"Leblanc, Maurice",1864,1941,['en'],224,"{'Lupin, Arsène (Fictitious character) -- Fiction', 'Detective and mystery stories'}",,The Blonde Lady,Leblanc,http://www.wikidata.org/entity/Q19080112,http://www.wikidata.org/entity/Q314993,1864,Maurice Leblanc,Q19080112,Q314993
2684,PG24842,,The Defence of Duffer's Drift,"Swinton, E. D. (Ernest Dunlop)",1868,1951,['en'],78,"{'Military art and science', 'Guerrilla warfare', 'Tactics', 'South African War, 1899-1902'}",,The Defence of Duffer's Drift,Swinton,http://www.wikidata.org/entity/Q7729575,http://www.wikidata.org/entity/Q3847508,1868,Ernest Dunlop Swinton,Q7729575,Q3847508
2685,PG24898,,Robert Elsmere,"Ward, Humphry, Mrs.",1851,1920,['en'],20,{'Religious fiction'},,Robert Elsmere,Ward,http://www.wikidata.org/entity/Q7344052,http://www.wikidata.org/entity/Q952452,1851,Mary Augusta Ward,Q7344052,Q952452
2686,PG2493,,The Adventures of Paddy the Beaver,"Burgess, Thornton W. (Thornton Waldo)",1874,1965,['en'],29,"{'Animals -- Juvenile fiction', 'Beavers -- Juvenile fiction'}",,The Adventures of Paddy the Beaver,Burgess,http://www.wikidata.org/entity/Q7712601,http://www.wikidata.org/entity/Q7796519,1874,Thornton Burgess,Q7712601,Q7796519
2687,PG24968,,"Behind the Scenes; or, Thirty years a slave, and Four Years in the White House","Keckley, Elizabeth",1818,1907,['en'],778,"{'Keckley, Elizabeth, approximately 1818-1907', 'Lincoln, Mary Todd, 1818-1882', 'Enslaved women -- United States -- Biography', 'African American women -- Biography', 'Lincoln, Abraham, 1809-1865', 'Slavery -- United States'}",,Behind the Scenes,Keckley,http://www.wikidata.org/entity/Q98534768,http://www.wikidata.org/entity/Q5363058,1818,Elizabeth Keckley,Q98534768,Q5363058
2688,PG24985,,Comedies of Courtship,"Hope, Anthony",1863,1933,['en'],19,"{'Short stories', 'Love stories'}",,Comedies of Courtship,Hope,http://www.wikidata.org/entity/Q124082391,http://www.wikidata.org/entity/Q457287,1863,Anthony Hope,Q124082391,Q457287
2689,PG24996,,The Tapu of Banderah: 1901,"Becke, Louis",1855,1913,['en'],16,"{'Adventure stories', 'Oceania -- Fiction'}",,The Tapu of Banderah,Becke,http://www.wikidata.org/entity/Q124090384,http://www.wikidata.org/entity/Q5481115,1855,George Lewis Becke,Q124090384,Q5481115
2690,PG2499,,Siddhartha: eine indische Dichtung,"Hesse, Hermann",1877,1962,['de'],732,"{'Buddhist philosophy -- Fiction', 'Self-realization -- Fiction', 'Buddhism -- Fiction', 'India -- Social life and customs -- Fiction', 'Spiritual life -- Fiction', 'Gautama Buddha -- Fiction', 'India -- Religion -- Fiction', 'Brahmans -- Fiction'}",,Siddhartha,Hesse,http://www.wikidata.org/entity/Q457289,http://www.wikidata.org/entity/Q25973,1877,Hermann Hesse,Q457289,Q25973
2694,PG25012,,"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.","Nietzsche, Friedrich Wilhelm",1844,1900,['en'],330,"{'Music -- History and criticism', 'Literature -- Collections', 'Essays', 'Wagner, Richard, 1813-1883'}",,The Case of Wagner,Nietzsche,http://www.wikidata.org/entity/Q1193302,http://www.wikidata.org/entity/Q9358,1844,Friedrich Nietzsche,Q1193302,Q9358
2695,PG2502,,"Chitra, a Play in One Act","Tagore, Rabindranath",1861,1941,['en'],498,{'Indic drama'},,Chitra,Tagore,http://www.wikidata.org/entity/Q17103580,http://www.wikidata.org/entity/Q7241,1861,Rabindranath Tagore,Q17103580,Q7241
2696,PG25031,,Davy and the Goblin: What Followed Reading 'Alice's Adventures in Wonderland',"Carryl, Charles E. (Charles Edward)",1841,1920,['en'],144,{'Fantasy literature'},,Davy and the Goblin,Carryl,http://www.wikidata.org/entity/Q5242229,http://www.wikidata.org/entity/Q5077060,1841,Charles E. Carryl,Q5242229,Q5077060
2697,PG25051,,Space Platform,"Leinster, Murray",1896,1975,['en'],55,"{'Science fiction, American'}",,Space Platform,Leinster,http://www.wikidata.org/entity/Q7572460,http://www.wikidata.org/entity/Q550449,1896,Murray Leinster,Q7572460,Q550449
2698,PG2505,,The Heir of Redclyffe,"Yonge, Charlotte M. (Charlotte Mary)",1823,1901,['en'],627,"{'Cousins -- Fiction', 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Religious fiction', 'Upper class -- Fiction', 'Great Britain -- Moral conditions -- Fiction'}",,The Heir of Redclyffe,Yonge,http://www.wikidata.org/entity/Q7739314,http://www.wikidata.org/entity/Q433098,1823,Charlotte Mary Yonge,Q7739314,Q433098
2699,PG2508,,Stories in Light and Shadow,"Harte, Bret",1836,1902,['en'],72,"{'American fiction -- 19th century', 'Short stories', 'California -- Fiction'}",,Stories in Light and Shadow,Harte,http://www.wikidata.org/entity/Q124086694,http://www.wikidata.org/entity/Q301983,1836,Bret Harte,Q124086694,Q301983
2700,PG2511,,"The History of Henry Esmond, Esq., a Colonel in the Service of Her Majesty Queen Anne","Thackeray, William Makepeace",1811,1863,['en'],183,"{'Historical fiction', 'Great Britain -- History -- Anne, 1702-1714 -- Fiction'}",,The History of Henry Esmond,Thackeray,http://www.wikidata.org/entity/Q3203517,http://www.wikidata.org/entity/Q167768,1811,William Makepeace Thackeray,Q3203517,Q167768
2702,PG2512,,The Cruise of the Snark,"London, Jack",1876,1916,['en'],197,"{'London, Jack, 1876-1916 -- Travel -- Oceania', 'Voyages and travels', 'Oceania -- Description and travel', 'Authors, American -- 20th century -- Biography', 'Ocean travel', 'Americans -- Oceania -- History -- 20th century'}",,The Cruise of the Snark,London,http://www.wikidata.org/entity/Q3207964,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q3207964,Q45765
2703,PG25153,,Tales of a Wayside Inn,"Longfellow, Henry Wadsworth",1807,1882,['en'],168,{'American poetry'},,Tales of a Wayside Inn,Longfellow,http://www.wikidata.org/entity/Q3235207,http://www.wikidata.org/entity/Q152513,1807,Henry Wadsworth Longfellow,Q3235207,Q152513
2704,PG2515,,Stepping Heavenward,"Prentiss, E. (Elizabeth)",1818,1878,['en'],42,"{'Christian life -- Fiction', 'Conduct of life -- Fiction'}",,Stepping Heavenward,Prentiss,http://www.wikidata.org/entity/Q124092837,http://www.wikidata.org/entity/Q5363377,1818,Elizabeth Prentiss,Q124092837,Q5363377
2705,PG2516,,Redgauntlet: A Tale of the Eighteenth Century,"Scott, Walter",1771,1832,['en'],126,"{'Law students -- Fiction', 'Scotland -- History -- 18th century -- Fiction', 'Charles Edward, Prince, grandson of James II, King of England, 1720-1788 -- Fiction', 'Princes -- Fiction', 'Historical fiction', 'Jacobites -- Fiction'}",,Redgauntlet,Scott,http://www.wikidata.org/entity/Q3422871,http://www.wikidata.org/entity/Q79025,1771,Walter Scott,Q3422871,Q79025
2706,PG2518,,"The Hungry Stones, and Other Stories","Tagore, Rabindranath",1861,1941,['en'],668,"{'India -- Social life and customs -- Fiction', 'Short stories, Bengali -- Translations into English', 'Tagore, Rabindranath, 1861-1941 -- Translations into English'}",,The Hungry Stones,Tagore,http://www.wikidata.org/entity/Q19090277,http://www.wikidata.org/entity/Q7241,1861,Rabindranath Tagore,Q19090277,Q7241
2707,PG2520,,The Man,"Stoker, Bram",1847,1912,['en'],108,"{'England -- Fiction', 'Gothic fiction'}",,The Man,Stoker,http://www.wikidata.org/entity/Q7749845,http://www.wikidata.org/entity/Q36184,1847,Bram Stoker,Q7749845,Q36184
2708,PG2522,,A Dark Night's Work,"Gaskell, Elizabeth Cleghorn",1810,1865,['en'],74,{'England -- Social life and customs -- 19th century -- Fiction'},,A Dark Night's Work,Gaskell,http://www.wikidata.org/entity/Q16385401,http://www.wikidata.org/entity/Q229226,1810,Elizabeth Cleghorn Gaskell,Q16385401,Q229226
2709,PG2524,,My Lady Ludlow,"Gaskell, Elizabeth Cleghorn",1810,1865,['en'],121,{'England -- Social life and customs -- 19th century -- Fiction'},,My Lady Ludlow,Gaskell,http://www.wikidata.org/entity/Q16387198,http://www.wikidata.org/entity/Q229226,1810,Elizabeth Cleghorn Gaskell,Q16387198,Q229226
2710,PG25278,,Amateur Gardencraft: A Book for the Home-Maker and Garden Lover,"Rexford, Eben E. (Eben Eugene)",1848,1916,['en'],47,{'Gardening'},,Amateur Gardencraft,Rexford,http://www.wikidata.org/entity/Q51439392,http://www.wikidata.org/entity/Q4352329,1848,Eben E. Rexford,Q51439392,Q4352329
2711,PG25278,,Amateur Gardencraft: A Book for the Home-Maker and Garden Lover,"Rexford, Eben E. (Eben Eugene)",1848,1916,['en'],47,{'Gardening'},,Amateur Gardencraft,Rexford,http://www.wikidata.org/entity/Q51439393,http://www.wikidata.org/entity/Q4352329,1848,Eben E. Rexford,Q51439393,Q4352329
2712,PG25301,,The Adventures of Danny Meadow Mouse,"Burgess, Thornton W. (Thornton Waldo)",1874,1965,['en'],28,"{'Mice -- Juvenile fiction', 'Animals -- Juvenile fiction'}",,The Adventures of Danny Meadow Mouse,Burgess,http://www.wikidata.org/entity/Q7712520,http://www.wikidata.org/entity/Q7796519,1874,Thornton Burgess,Q7712520,Q7796519
2716,PG25302,,Jack: 1877,"Daudet, Alphonse",1840,1897,['en'],23,"{'French fiction -- Translations into English', 'Child labor -- Fiction', 'Illegitimate children -- Fiction'}",,Jack,Daudet,http://www.wikidata.org/entity/Q21015518,http://www.wikidata.org/entity/Q228546,1840,Alphonse Daudet,Q21015518,Q228546
2717,PG2530,,"The Malay Archipelago, Volume 1: The Land of the Orang-utan and the Bird of Paradise; A Narrative of Travel, with Studies of Man and Nature","Wallace, Alfred Russel",1823,1913,['en'],204,"{'Malay Archipelago -- Description and travel', 'Natural history -- Malay Archipelago', 'Ethnology -- Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913 -- Travel -- Malay Archipelago'}",,The Malay Archipelago,Wallace,http://www.wikidata.org/entity/Q940414,http://www.wikidata.org/entity/Q160627,1823,Alfred Russel Wallace,Q940414,Q160627
2721,PG2531,,An Accursed Race,"Gaskell, Elizabeth Cleghorn",1810,1865,['en'],68,{'Cagots'},,An Accursed Race,Gaskell,http://www.wikidata.org/entity/Q16267443,http://www.wikidata.org/entity/Q229226,1810,Elizabeth Cleghorn Gaskell,Q16267443,Q229226
2722,PG25322,,Fables in Slang,"Ade, George",1866,1944,['en'],47,"{'American wit and humor', 'Fables'}",,Fables in Slang,Ade,http://www.wikidata.org/entity/Q42189788,http://www.wikidata.org/entity/Q1506837,1866,George Ade,Q42189788,Q1506837
2723,PG2533,,Round the Sofa,"Gaskell, Elizabeth Cleghorn",1810,1865,['en'],31,{'England -- Social life and customs -- 19th century -- Fiction'},,Round the Sofa,Gaskell,http://www.wikidata.org/entity/Q28404740,http://www.wikidata.org/entity/Q229226,1810,Elizabeth Cleghorn Gaskell,Q28404740,Q229226
2724,PG25344,,The Scarlet Letter,"Hawthorne, Nathaniel",1804,1864,['en'],38073,"{'Married women -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Women immigrants -- Fiction', 'Revenge -- Fiction', 'Clergy -- Fiction', 'Psychological fiction', 'Adultery -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Puritans -- Fiction', 'Illegitimate children -- Fiction', 'Historical fiction'}",,The Scarlet Letter,Hawthorne,http://www.wikidata.org/entity/Q907568,http://www.wikidata.org/entity/Q69339,1804,Nathaniel Hawthorne,Q907568,Q69339
2728,PG2540,,Father and Son: A Study of Two Temperaments,"Gosse, Edmund",1849,1928,['en'],65,"{'Authors, English -- 19th century -- Biography', 'Fathers and sons -- England', 'Authors, English -- 19th century -- Family relationships', 'Apostasy', 'Gosse, Philip Henry, 1810-1888', 'England -- Social life and customs -- 19th century', 'Gosse, Edmund, 1849-1928 -- Childhood and youth', 'Conflict of generations -- England', 'Zoologists -- Great Britain -- Biography', 'Plymouth Brethren -- England -- Biography'}",,Father and Son,Gosse,http://www.wikidata.org/entity/Q5437669,http://www.wikidata.org/entity/Q742371,1849,Edmund Gosse,Q5437669,Q742371
2729,PG25430,,The Innocents: A Story for Lovers,"Lewis, Sinclair",1885,1951,['en'],39,"{'New York (State) -- Social life and customs -- Fiction', 'Married people -- Fiction'}",,The Innocents,Lewis,http://www.wikidata.org/entity/Q7742117,http://www.wikidata.org/entity/Q123469,1885,Sinclair Lewis,Q7742117,Q123469
2730,PG25438,,The Airlords of Han,"Nowlan, Philip Francis",1888,1940,['en'],101,"{'War stories', 'Science fiction'}",,The Airlords of Han,Nowlan,http://www.wikidata.org/entity/Q124098246,http://www.wikidata.org/entity/Q705999,1888,Philip Francis Nowlan,Q124098246,Q705999
2731,PG25439,,Looking Backward: 2000-1887,"Bellamy, Edward",1850,1898,['en'],75,"{'Utopian fiction', 'Science fiction', 'Time travel -- Fiction', 'Social problems -- Fiction', 'Boston (Mass.) -- Fiction', 'Utopias -- Fiction', 'Two thousand, A.D. -- Fiction'}",,Looking Backward,Bellamy,http://www.wikidata.org/entity/Q1305106,http://www.wikidata.org/entity/Q455776,1850,Edward Bellamy,Q1305106,Q455776
2732,PG2543,,Polyeucte,"Corneille, Pierre",1606,1684,['en'],98,"{'Polyeuctus, Saint, -approximately 259 -- Drama', 'French drama -- Translations into English'}",,Polyeucte,Corneille,http://www.wikidata.org/entity/Q546217,http://www.wikidata.org/entity/Q747,1606,Pierre Corneille,Q546217,Q747
2733,PG2545,,"When God Laughs, and Other Stories","London, Jack",1876,1916,['en'],293,"{'American fiction -- 20th century', 'Short stories'}",,When God Laughs,London,http://www.wikidata.org/entity/Q66124805,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q66124805,Q45765
2734,PG25474,,The Job: An American Novel,"Lewis, Sinclair",1885,1951,['en'],85,"{'Women white collar workers -- Fiction', 'New York (N.Y.) -- Fiction'}",,The Job,Lewis,http://www.wikidata.org/entity/Q7743319,http://www.wikidata.org/entity/Q123469,1885,Sinclair Lewis,Q7743319,Q123469
2735,PG2548,,The Poor Clare,"Gaskell, Elizabeth Cleghorn",1810,1865,['en'],87,"{'Horror tales, English', 'England -- Social life and customs -- 19th century -- Fiction'}",,The Poor Clare,Gaskell,http://www.wikidata.org/entity/Q25340137,http://www.wikidata.org/entity/Q229226,1810,Elizabeth Cleghorn Gaskell,Q25340137,Q229226
2736,PG25500,,"A London Life, and Other Tales","James, Henry",1843,1916,['en'],49,{'Fiction'},,A London Life,James,http://www.wikidata.org/entity/Q4657901,http://www.wikidata.org/entity/Q170509,1843,Henry James,Q4657901,Q170509
2737,PG2550,,Tales of Trail and Town,"Harte, Bret",1836,1902,['en'],46,"{'American fiction -- 19th century', 'Short stories', 'Western stories'}",,Tales of Trail and Town,Harte,http://www.wikidata.org/entity/Q124086837,http://www.wikidata.org/entity/Q301983,1836,Bret Harte,Q124086837,Q301983
2738,PG25546,,Songs of a Sourdough,"Service, Robert W. (Robert William)",1874,1958,['en'],51,{'Yukon River Valley (Yukon and Alaska) -- Poetry'},,Songs of a Sourdough,Service,http://www.wikidata.org/entity/Q7561586,http://www.wikidata.org/entity/Q1392250,1874,Robert W. Service,Q7561586,Q1392250
2739,PG25547,,The Sundering Flood,"Morris, William",1834,1896,['en'],24,{'Fantasy literature'},,The Sundering Flood,Morris,http://www.wikidata.org/entity/Q7767399,http://www.wikidata.org/entity/Q182589,1834,William Morris,Q7767399,Q182589
2740,PG2554,,Crime and Punishment,"Dostoyevsky, Fyodor",1821,1881,['en'],15978,"{'Detective and mystery stories', 'Psychological fiction', 'Crime -- Psychological aspects -- Fiction', 'Saint Petersburg (Russia) -- Fiction', 'Murder -- Fiction'}",,Crime and Punishment,Dostoyevsky,http://www.wikidata.org/entity/Q165318,http://www.wikidata.org/entity/Q991,1821,Fyodor Dostoyevsky,Q165318,Q991
2741,PG25550,,The Defiant Agents,"Norton, Andre",1912,2005,['en'],127,"{'Time travel -- Fiction', 'Space and time -- Fiction', 'Science fiction'}",,The Defiant Agents,Norton,http://www.wikidata.org/entity/Q7729585,http://www.wikidata.org/entity/Q235899,1912,Andre Norton,Q7729585,Q235899
2742,PG25570,,The Manxman: A Novel - 1895,"Caine, Hall, Sir",1853,1931,['en'],40,{'Isle of Man -- Fiction'},,The Manxman,Caine,http://www.wikidata.org/entity/Q7750242,http://www.wikidata.org/entity/Q2331144,1853,Hall Caine,Q7750242,Q2331144
2743,PG25579,,Ralph the Heir,"Trollope, Anthony",1815,1882,['en'],59,"{'Domestic fiction', 'England -- Fiction', 'Inheritance and succession -- Fiction', 'Fathers and sons -- Fiction'}",,Ralph the Heir,Trollope,http://www.wikidata.org/entity/Q7288337,http://www.wikidata.org/entity/Q318399,1815,Anthony Trollope,Q7288337,Q318399
2744,PG25581,,Rinkitink in Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],149,"{'Adventure and adventurers -- Juvenile fiction', 'Islands -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Fantasy literature', 'Enslaved persons -- Juvenile fiction', 'Goats -- Juvenile fiction', 'Escapes -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction'}",,Rinkitink in Oz,Baum,http://www.wikidata.org/entity/Q7335058,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q7335058,Q207544
2745,PG2559,,"The Forsyte Saga, Volume I.: The Man Of Property","Galsworthy, John",1867,1933,['en'],1699,"{'Domestic fiction', 'Families -- England -- Fiction', 'Middle class -- England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Women -- England -- Fiction', 'Forsyte family (Fictitious characters) -- Fiction'}",,The Forsyte Saga,Galsworthy,http://www.wikidata.org/entity/Q735319,http://www.wikidata.org/entity/Q82248,1867,John Galsworthy,Q735319,Q82248
2754,PG25641,,Cartas de Inglaterra,"Queirós, Eça de",1845,1900,['pt'],102,"{'Great Britain -- Politics and government -- 19th century', 'Great Britain -- History -- Victoria, 1837-1901'}",,Cartas de Inglaterra,Queirós,http://www.wikidata.org/entity/Q5047054,http://www.wikidata.org/entity/Q316327,1845,José Maria de Eça de Queirós,Q5047054,Q316327
2755,PG25648,,The Peterkin Papers,"Hale, Lucretia P. (Lucretia Peabody)",1820,1900,['en'],56,"{'Humorous stories', 'Family life -- Juvenile fiction'}",,The Peterkin Papers,Hale,http://www.wikidata.org/entity/Q7756793,http://www.wikidata.org/entity/Q6698108,1820,Lucretia Peabody Hale,Q7756793,Q6698108
