,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
358,PG47787,,"Brief Lives, Vol. 1","Aubrey, John",1626,1697,['en'],244,"{'Great Britain -- History -- Stuarts, 1603-1714 -- Biography', 'Great Britain -- Biography', 'Great Britain -- History -- Charles II, 1660-1685 -- Biography', 'Great Britain -- History -- Tudors, 1485-1603 -- Biography'}",,Brief Lives,Aubrey,http://www.wikidata.org/entity/Q914059,http://www.wikidata.org/entity/Q356317,1626,John Aubrey,Q914059,Q356317
362,PG4786,,Zone Policeman 88; a close range study of the Panama canal and its workers,"Franck, Harry Alverson",1881,1962,['en'],51,"{'Panama Canal (Panama)', 'Police -- Panama -- Canal Zone'}",,Zone Policeman 88,Franck,http://www.wikidata.org/entity/Q8073923,http://www.wikidata.org/entity/Q5666786,1881,Harry A. Franck,Q8073923,Q5666786
363,PG47874,,"My Wife and I; Or, Harry Henderson's History","Stowe, Harriet Beecher",1811,1896,['en'],82,"{'American fiction -- 19th century', 'Marriage -- Fiction', 'Courtship -- Fiction', 'Romance fiction'}",,My Wife and I,Stowe,http://www.wikidata.org/entity/Q3855984,http://www.wikidata.org/entity/Q102513,1811,Harriet Beecher Stowe,Q3855984,Q102513
364,PG4788,,Mademoiselle Fifi,"Maupassant, Guy de",1850,1893,['en'],38,"{'Short stories, French -- Translations into English'}",,Mademoiselle Fifi,Maupassant,http://www.wikidata.org/entity/Q3275886,http://www.wikidata.org/entity/Q9327,1850,Guy de Maupassant,Q3275886,Q9327
365,PG4788,,Mademoiselle Fifi,"Maupassant, Guy de",1850,1893,['en'],38,"{'Short stories, French -- Translations into English'}",,Mademoiselle Fifi,Maupassant,http://www.wikidata.org/entity/Q3275889,http://www.wikidata.org/entity/Q9327,1850,Guy de Maupassant,Q3275889,Q9327
367,PG47902,,"The Romance of Leonardo da Vinci, the Forerunner","Merezhkovsky, Dmitry Sergeyevich",1865,1941,['en'],88,"{'Biographical fiction', 'Leonardo, da Vinci, 1452-1519 -- Fiction', 'Artists -- Fiction', 'Italy -- Fiction'}",,The Romance of Leonardo da Vinci,Merezhkovsky,http://www.wikidata.org/entity/Q4126297,http://www.wikidata.org/entity/Q326459,1865,Dmitry Merezhkovsky,Q4126297,Q326459
368,PG47935,,Fathers and Sons,"Turgenev, Ivan Sergeevich",1818,1883,['en'],742,"{'Domestic fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Russia -- Social conditions -- 1801-1917 -- Fiction', 'Nihilism (Philosophy) -- Fiction', 'Historical fiction', 'Fathers and sons -- Fiction'}",,Fathers and Sons,Turgenev,http://www.wikidata.org/entity/Q29424,http://www.wikidata.org/entity/Q42831,1818,Ivan Turgenev,Q29424,Q42831
369,PG4793,,The Fiend's Delight,"Bierce, Ambrose",1842,1913,['en'],118,"{'American wit and humor', 'Short stories, American'}",,The Fiend's Delight,Bierce,http://www.wikidata.org/entity/Q124093850,http://www.wikidata.org/entity/Q191050,1842,Ambrose Bierce,Q124093850,Q191050
370,PG47958,,The Minister's Wooing,"Stowe, Harriet Beecher",1811,1896,['en'],96,"{'Didactic fiction', 'Clergy -- Fiction', 'Calvinism -- Fiction', 'Historical fiction', 'Newport (R.I.) -- Fiction', 'Slavery and the church -- Fiction'}",,The Minister's Wooing,Stowe,http://www.wikidata.org/entity/Q3793666,http://www.wikidata.org/entity/Q102513,1811,Harriet Beecher Stowe,Q3793666,Q102513
371,PG47958,,The Minister's Wooing,"Stowe, Harriet Beecher",1811,1896,['en'],96,"{'Didactic fiction', 'Clergy -- Fiction', 'Calvinism -- Fiction', 'Historical fiction', 'Newport (R.I.) -- Fiction', 'Slavery and the church -- Fiction'}",,The Minister's Wooing,Stowe,http://www.wikidata.org/entity/Q37398654,http://www.wikidata.org/entity/Q102513,1811,Harriet Beecher Stowe,Q37398654,Q102513
372,PG47971,,Field Book of Western Wild Flowers,"Armstrong, Margaret",1867,1944,['en'],274,"{'Flowers -- West (U.S.) -- Pictorial works', 'Flowers -- West (U.S.)'}",,Field Book of Western Wild Flowers,Armstrong,http://www.wikidata.org/entity/Q62607089,http://www.wikidata.org/entity/Q2026837,1867,Margaret Neilson Armstrong,Q62607089,Q2026837
373,PG479,,Little Lord Fauntleroy,"Burnett, Frances Hodgson",1849,1924,['en'],1089,"{'Mother and child -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Altruism -- Juvenile fiction', 'Family -- Juvenile fiction', 'England -- Juvenile fiction', 'Grandparent and child -- Juvenile fiction', 'Grandfathers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Wealth -- Juvenile fiction'}",,Little Lord Fauntleroy,Burnett,http://www.wikidata.org/entity/Q387480,http://www.wikidata.org/entity/Q276028,1849,Frances Hodgson Burnett,Q387480,Q276028
374,PG47,,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",1874,1942,['en'],2024,"{'Islands -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Orphans -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Teachers -- Fiction'}",,Anne of Avonlea,Montgomery,http://www.wikidata.org/entity/Q1331757,http://www.wikidata.org/entity/Q273034,1874,Lucy Maud Montgomery,Q1331757,Q273034
375,PG48020,,"Aurora Floyd, Vol. 1: Fifth Edition","Braddon, M. E. (Mary Elizabeth)",1835,1915,['en'],77,"{'Bigamy -- Fiction', 'Domestic fiction', 'Married women -- Fiction', 'Young women -- Fiction', 'Extortion -- Fiction', 'England -- Fiction'}",,Aurora Floyd,Braddon,http://www.wikidata.org/entity/Q4822530,http://www.wikidata.org/entity/Q437184,1835,Mary Elizabeth Braddon,Q4822530,Q437184
384,PG48108,,Insurgent Mexico,"Reed, John",1887,1920,['en'],149,"{'Mexico -- History -- Revolution, 1910-1920', 'Mexico -- History -- 1910-1946'}",,Insurgent Mexico,Reed,http://www.wikidata.org/entity/Q105710693,http://www.wikidata.org/entity/Q310800,1887,John Reed,Q105710693,Q310800
385,PG48112,,The Green Goddess,"Archer, William",1856,1924,['en'],45,"{'Triangles (Interpersonal relations) -- Fiction', 'Aircraft accidents -- Fiction', 'British -- Foreign countries -- Fiction', 'Imaginary places -- Asia, Central -- Fiction'}",,The Green Goddess,Archer,http://www.wikidata.org/entity/Q3987409,http://www.wikidata.org/entity/Q1382278,1856,William Archer,Q3987409,Q1382278
