,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,name
509,1230,PG15491,,Micrographia: Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses with Observations and Inquiries Thereupon,"Hooke, Robert",1635,1703.0,['en'],683,"{'Microscopy -- Early works to 1800', 'Magnifying glasses -- Early works to 1800', 'Natural history -- Pre-Linnean works'}",,Micrographia,Hooke,http://www.wikidata.org/entity/Q2469465,http://www.wikidata.org/entity/Q46830,1635,Robert Hooke,Q2469465,Q46830,Robert Hooke
510,1231,PG15493,,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1805,1882.0,['en'],191,"{'Witches -- Fiction', 'Lancashire (England) -- Fiction'}",,The Lancashire Witches,Ainsworth,http://www.wikidata.org/entity/Q7745322,http://www.wikidata.org/entity/Q518359,1805,William Harrison Ainsworth,Q7745322,Q518359,William Harrison Ainsworth
511,1232,PG154,,The Rise of Silas Lapham,"Howells, William Dean",1837,1920.0,['en'],399,"{'Socialites -- Fiction', 'Domestic fiction', 'Psychological fiction', 'Boston (Mass.) -- Fiction', 'Businessmen -- Fiction', 'Rich people -- Fiction'}",,The Rise of Silas Lapham,Howells,http://www.wikidata.org/entity/Q7760892,http://www.wikidata.org/entity/Q526709,1837,William Dean Howells,Q7760892,Q526709,William Dean Howells
512,1233,PG1550,,"A Lady of Quality: Being a Most Curious, Hitherto Unknown History, as Related by Mr. Isaac Bickerstaff but Not Presented to the World of Fashion Through the Pages of The Tatler, and Now for the First Time Written Down","Burnett, Frances Hodgson",1849,1924.0,['en'],148,{'Nobility -- Fiction'},,A Lady of Quality,Burnett,http://www.wikidata.org/entity/Q4657625,http://www.wikidata.org/entity/Q276028,1849,Frances Hodgson Burnett,Q4657625,Q276028,Frances Hodgson Burnett
513,1234,PG1554,,Adieu,"Balzac, Honoré de",1799,1850.0,['en'],108,"{'French fiction -- Translations into English', 'France -- Social life and customs -- Fiction'}",,Adieu,Balzac,http://www.wikidata.org/entity/Q2824405,http://www.wikidata.org/entity/Q9711,1799,Honoré de Balzac,Q2824405,Q9711,Honoré de Balzac
514,1235,PG15558,,La nouvelle Carthage,"Eekhoud, Georges",1854,1927.0,['fr'],21,{'Fiction'},,La nouvelle Carthage,Eekhoud,http://www.wikidata.org/entity/Q20011431,http://www.wikidata.org/entity/Q728405,1854,Georges Eekhoud,Q20011431,Q728405,Georges Eekhoud
515,1236,PG1555,,A Passion in the Desert,"Balzac, Honoré de",1799,1850.0,['en'],379,"{'Deserts -- Fiction', 'Adventure and adventurers -- Fiction'}",,A Passion in the Desert,Balzac,http://www.wikidata.org/entity/Q3549692,http://www.wikidata.org/entity/Q9711,1799,Honoré de Balzac,Q3549692,Q9711,Honoré de Balzac
517,1244,PG1557,,Men of Iron,"Pyle, Howard",1853,1911.0,['en'],349,"{'Knights and knighthood -- Fiction', 'Great Britain -- History -- Henry IV, 1399-1413 -- Fiction', 'Great Britain -- History -- Medieval period, 1066-1485 -- Fiction'}",,Men of Iron,Pyle,http://www.wikidata.org/entity/Q6816281,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,Q6816281,Q525713,Howard Pyle
518,1245,PG15588,,The Pilot and His Wife,"Lie, Jonas",1833,1908.0,['en'],19,"{'Seafaring life -- Fiction', 'Married people -- Fiction', 'Norway -- Fiction', 'Man-woman relationships -- Fiction'}",,The Pilot and His Wife,Lie,http://www.wikidata.org/entity/Q7757145,http://www.wikidata.org/entity/Q469681,1833,Jonas Lie,Q7757145,Q469681,Jonas Lie
519,1246,PG1558,,The Profits of Religion: An Essay in Economic Interpretation,"Sinclair, Upton",1878,1968.0,['en'],171,{'Christianity -- Controversial literature'},,The Profits of Religion,Sinclair,http://www.wikidata.org/entity/Q7758494,http://www.wikidata.org/entity/Q216134,1878,Upton Sinclair,Q7758494,Q216134,Upton Sinclair
