,word,count_s,corpos_S
405,view,747,5150227
406,happened,1178,5150227
407,brought,1843,5150227
408,living,1116,5150227
409,bungalow,38,5150227
410,apparatus,471,5150227
411,noise,434,5150227
412,hesitated,424,5150227
413,large,1629,5150227
414,opened,1396,5150227
415,along,2527,5150227
416,hope,1605,5150227
417,house,2086,5150227
418,steps,678,5150227
419,better,2280,5150227
420,followed,1377,5150227
421,standing,926,5150227
422,itself,1631,5150227
423,hear,1279,5150227
424,ourselves,596,5150227
425,passed,2268,5150227
426,foot,951,5150227
427,grey,376,5150227
428,full,2328,5150227
429,voice,2789,5150227
430,carried,1216,5150227
431,mooncalves,17,5150227
432,quality,251,5150227
433,scarcely,658,5150227
434,wanted,1212,5150227
435,probably,1102,5150227
436,slope,203,5150227
437,eye,1043,5150227
438,whatever,925,5150227
439,rose,1534,5150227
440,turn,1236,5150227
441,use,2325,5150227
442,wall,1524,5150227
443,knowledge,972,5150227
444,weight,567,5150227
445,boom,59,5150227
446,begin,484,5150227
447,yards,589,5150227
448,shining,385,5150227
449,reached,1559,5150227
450,void,255,5150227
451,lying,593,5150227
452,grating,50,5150227
453,lympne,15,5150227
454,infinite,263,5150227
455,rate,540,5150227
456,days,2481,5150227
457,discovered,823,5150227
458,old,4209,5150227
459,cliff,558,5150227
460,hung,614,5150227
461,appeared,1541,5150227
462,let,3127,5150227
463,beginning,868,5150227
464,thinking,872,5150227
465,clearly,486,5150227
466,spite,513,5150227
467,attempt,696,5150227
468,word,1718,5150227
469,distance,1318,5150227
470,form,1322,5150227
471,reach,910,5150227
472,amazed,133,5150227
473,says,592,5150227
474,realised,174,5150227
475,case,1160,5150227
476,ground,1662,5150227
477,portion,311,5150227
478,does,1889,5150227
479,state,1156,5150227
480,held,1807,5150227
481,outer,579,5150227
482,shut,602,5150227
483,show,865,5150227
484,bale,141,5150227
485,litter,68,5150227
486,minds,461,5150227
487,caverns,88,5150227
488,faces,502,5150227
489,interest,799,5150227
490,others,1991,5150227
491,inside,891,5150227
492,sunlight,272,5150227
493,alone,1823,5150227
494,chance,1184,5150227
495,sometimes,711,5150227
496,arms,1416,5150227
497,pulled,613,5150227
498,effort,665,5150227
499,brown,415,5150227
500,watched,930,5150227
501,scientific,507,5150227
502,manner,844,5150227
503,hold,1435,5150227
504,central,458,5150227
505,many,3264,5150227
506,bodies,567,5150227
507,however,2038,5150227
508,shouted,475,5150227
509,practical,310,5150227
510,roof,479,5150227
511,ears,565,5150227
512,rushed,455,5150227
513,mean,1410,5150227
514,explain,570,5150227
515,bars,195,5150227
516,shoulders,606,5150227
517,account,564,5150227
518,greater,753,5150227
519,handkerchief,92,5150227
520,hidden,513,5150227
521,shapes,200,5150227
522,cleft,92,5150227
523,six,1254,5150227
524,forms,357,5150227
525,extraordinary,406,5150227
526,considerable,543,5150227
527,several,1487,5150227
528,changed,774,5150227
529,walked,999,5150227
530,step,672,5150227
531,explained,673,5150227
532,help,1384,5150227
533,completely,622,5150227
534,metal,1199,5150227
535,gravitation,139,5150227
536,example,244,5150227
537,sorts,181,5150227
538,story,1258,5150227
539,machine,1185,5150227
540,fall,809,5150227
541,aware,535,5150227
542,exterior,50,5150227
543,crawled,176,5150227
544,peered,167,5150227
545,need,1493,5150227
546,closed,1000,5150227
547,growing,513,5150227
548,curious,533,5150227
549,blaze,141,5150227
550,touched,664,5150227
551,whispered,447,5150227
552,crowd,641,5150227
553,shadows,374,5150227
554,hard,1254,5150227
555,getting,959,5150227
556,broad,543,5150227
557,figure,988,5150227
558,size,592,5150227
559,evening,954,5150227
560,beside,1136,5150227
561,glanced,550,5150227
562,reason,1178,5150227
563,greatly,318,5150227
564,impossible,975,5150227
565,ideas,362,5150227
566,immediately,899,5150227
567,impression,370,5150227
568,spoke,1496,5150227
569,flying,631,5150227
570,flat,446,5150227
571,breath,632,5150227
572,whose,1611,5150227
573,run,1126,5150227
574,flung,321,5150227
575,level,795,5150227
576,caught,1214,5150227
577,steel,491,5150227
578,floating,294,5150227
579,start,833,5150227
580,position,1035,5150227
581,common,714,5150227
582,fear,1260,5150227
583,soft,627,5150227
584,shape,545,5150227
585,opening,745,5150227
586,movements,187,5150227
587,blanket,71,5150227
588,sudden,817,5150227
589,shaft,210,5150227
590,spear,178,5150227
591,bent,522,5150227
592,sides,567,5150227
593,minute,961,5150227
594,growth,224,5150227
595,piping,32,5150227
596,fungus,61,5150227
597,record,319,5150227
598,journey,516,5150227
599,wendigee,11,5150227
600,messages,120,5150227
601,amazing,153,5150227
602,years,2866,5150227
603,whether,1154,5150227
604,necessary,1114,5150227
605,equal,309,5150227
606,stand,826,5150227
607,vivid,212,5150227
608,occurred,510,5150227
609,lower,696,5150227
610,third,728,5150227
611,past,1394,5150227
612,pointed,804,5150227
613,nearly,1046,5150227
614,change,1214,5150227
615,both,2339,5150227
616,cut,1301,5150227
617,paper,755,5150227
618,conditions,419,5150227
619,chances,234,5150227
620,active,292,5150227
621,spread,592,5150227
622,smashed,228,5150227
623,instantly,548,5150227
624,bluish,57,5150227
625,instant,1072,5150227
626,started,1349,5150227
627,pressure,397,5150227
628,wide,790,5150227
629,upward,471,5150227
630,loose,454,5150227
631,death,1840,5150227
632,scattered,299,5150227
633,dim,393,5150227
634,free,1177,5150227
635,warm,470,5150227
636,leaping,140,5150227
637,flimsy,44,5150227
638,deep,1205,5150227
639,neither,1096,5150227
640,silent,815,5150227
641,moved,1299,5150227
642,luminous,175,5150227
643,insects,91,5150227
644,anyhow,195,5150227
645,limbs,238,5150227
646,glimpse,198,5150227
647,twisted,313,5150227
648,movement,545,5150227
649,peering,141,5150227
650,particularly,343,5150227
651,chain,173,5150227
652,draw,354,5150227
653,speech,445,5150227
654,goad,15,5150227
655,points,445,5150227
656,fight,722,5150227
657,communication,320,5150227
658,sent,1152,5150227
659,sitting,592,5150227
660,strong,872,5150227
661,used,1597,5150227
662,distant,542,5150227
663,farther,423,5150227
664,showed,704,5150227
665,falling,460,5150227
666,sir,1443,5150227
667,trouble,866,5150227
668,problem,481,5150227
669,yourself,784,5150227
670,talked,492,5150227
671,remained,975,5150227
672,length,778,5150227
673,talk,988,5150227
674,thoughts,831,5150227
675,affair,280,5150227
676,fire,1572,5150227
677,various,516,5150227
678,emerged,240,5150227
679,aside,531,5150227
680,incredible,271,5150227
681,slowly,1615,5150227
682,leaps,42,5150227
683,flew,311,5150227
684,mass,838,5150227
685,attendants,72,5150227
686,explanation,389,5150227
687,similar,439,5150227
688,blinds,34,5150227
689,glow,274,5150227
690,oxygen,205,5150227
691,mad,442,5150227
692,sleep,950,5150227
693,queer,310,5150227
694,blackness,181,5150227
695,centre,249,5150227
696,dream,635,5150227
697,pointing,300,5150227
698,glare,192,5150227
699,plain,609,5150227
700,drop,397,5150227
701,thud,83,5150227
702,remote,251,5150227
703,pause,304,5150227
704,rocky,196,5150227
705,gestures,100,5150227
706,bushes,181,5150227
707,pit,204,5150227
708,busy,431,5150227
709,vertical,123,5150227
710,picked,589,5150227
711,chains,77,5150227
712,chid,10,5150227
713,galleries,64,5150227
714,received,766,5150227
715,amount,260,5150227
716,imagination,360,5150227
717,writing,395,5150227
718,possibilities,171,5150227
719,ten,1553,5150227
720,places,563,5150227
721,strides,57,5150227
722,five,1680,5150227
723,decided,724,5150227
724,kept,1166,5150227
725,trees,1090,5150227
726,intelligent,340,5150227
727,reader,257,5150227
728,known,1469,5150227
729,understood,527,5150227
730,emotion,306,5150227
731,given,1359,5150227
732,social,340,5150227
733,later,1357,5150227
734,ship,3811,5150227
735,expected,603,5150227
736,themselves,1551,5150227
737,rolled,447,5150227
738,sought,509,5150227
739,creature,809,5150227
740,door,2812,5150227
741,perfectly,666,5150227
742,forced,509,5150227
743,violently,209,5150227
744,led,973,5150227
745,having,1692,5150227
746,curiously,209,5150227
747,except,1324,5150227
748,tremendous,386,5150227
749,bright,673,5150227
750,crescent,103,5150227
751,read,1407,5150227
752,grip,233,5150227
753,somewhere,527,5150227
754,outline,175,5150227
755,visible,657,5150227
756,absolute,343,5150227
757,filled,908,5150227
758,confusion,235,5150227
759,watching,716,5150227
760,eastward,104,5150227
761,knees,419,5150227
762,meet,748,5150227
763,bristling,51,5150227
764,vegetation,181,5150227
765,clambered,94,5150227
766,fungi,51,5150227
767,gigantic,432,5150227
768,presence,670,5150227
769,hall,717,5150227
770,jacket,144,5150227
771,violence,259,5150227
772,crowbar,18,5150227
773,gallery,170,5150227
774,spiral,92,5150227
775,bridge,323,5150227
776,littlestone,11,5150227
777,possibility,309,5150227
778,doing,1040,5150227
779,present,1174,5150227
780,texture,73,5150227
781,masses,300,5150227
782,low,964,5150227
783,drift,160,5150227
784,crest,150,5150227
785,green,1286,5150227
786,walk,541,5150227
787,exactly,767,5150227
788,gesture,318,5150227
789,energy,1110,5150227
790,regarded,252,5150227
791,repeated,595,5150227
792,wish,1017,5150227
793,evident,388,5150227
794,ways,493,5150227
795,abruptly,439,5150227
796,paused,517,5150227
797,call,1455,5150227
798,force,1517,5150227
799,afraid,817,5150227
800,dull,330,5150227
801,resumed,267,5150227
802,fashion,334,5150227
803,breeze,230,5150227
804,follow,817,5150227
805,difficulty,475,5150227
806,forth,1085,5150227
807,therefore,1019,5150227
808,lord,1336,5150227
809,piece,467,5150227
810,complicated,159,5150227
811,understanding,261,5150227
812,recall,273,5150227
813,thousand,1706,5150227
814,straight,876,5150227
815,working,809,5150227
816,twenty,885,5150227
817,home,1498,5150227
818,swiftly,534,5150227
819,staggered,164,5150227
820,branches,283,5150227
821,science,804,5150227
822,reflected,209,5150227
823,ought,575,5150227
824,blind,529,5150227
825,easy,784,5150227
826,screw,124,5150227
827,finished,617,5150227
828,goes,483,5150227
829,quarter,365,5150227
830,red,1583,5150227
831,bed,727,5150227
832,irregular,146,5150227
833,astonished,192,5150227
834,struck,1068,5150227
835,stillness,105,5150227
836,drew,1033,5150227
837,noted,265,5150227
838,forgot,257,5150227
839,late,648,5150227
840,angry,341,5150227
841,downward,256,5150227
842,blood,807,5150227
843,utter,287,5150227
844,instead,867,5150227
845,snapped,574,5150227
846,covered,800,5150227
847,tumbled,104,5150227
848,colour,277,5150227
849,difference,391,5150227
850,thirty,476,5150227
851,broke,857,5150227
852,studs,31,5150227
853,somehow,373,5150227
854,thicker,56,5150227
855,steadily,312,5150227
856,dry,336,5150227
857,wonderful,570,5150227
858,picture,549,5150227
859,condition,425,5150227
860,answered,1238,5150227
861,stretched,505,5150227
862,moving,857,5150227
863,fresh,449,5150227
864,panting,103,5150227
865,clang,34,5150227
866,crawling,132,5150227
867,noises,103,5150227
868,eat,503,5150227
869,ant,28,5150227
870,insect,71,5150227
871,advanced,478,5150227
872,animals,592,5150227
873,inclined,243,5150227
874,shoulder,801,5150227
875,passage,657,5150227
876,waters,431,5150227
877,morning,1615,5150227
878,cave,585,5150227
879,natural,737,5150227
880,circumstances,341,5150227
881,finally,981,5150227
882,met,917,5150227
883,meant,678,5150227
884,habit,224,5150227
885,wet,222,5150227
886,lumps,39,5150227
887,worked,684,5150227
888,naturally,386,5150227
889,yellow,561,5150227
890,waste,290,5150227
891,path,540,5150227
892,finger,390,5150227
893,meditated,49,5150227
894,stop,956,5150227
895,former,474,5150227
896,try,1053,5150227
897,afternoon,532,5150227
898,ready,1243,5150227
899,pursuit,195,5150227
900,entirely,680,5150227
901,talking,671,5150227
902,extremely,277,5150227
903,tremendously,78,5150227
904,difficult,574,5150227
905,private,422,5150227
906,bring,954,5150227
907,waves,478,5150227
908,taking,925,5150227
909,haze,161,5150227
910,questions,532,5150227
911,gather,175,5150227
912,strength,847,5150227
913,war,1151,5150227
914,jumped,287,5150227
915,room,3299,5150227
916,secret,936,5150227
917,experience,518,5150227
918,insisted,256,5150227
919,unknown,686,5150227
920,possibly,486,5150227
921,else,1368,5150227
922,prepared,437,5150227
923,swayed,139,5150227
924,struggled,268,5150227
925,fragment,95,5150227
926,tall,539,5150227
927,middle,555,5150227
928,pace,248,5150227
929,directly,642,5150227
930,suggestion,290,5150227
931,panted,58,5150227
932,intelligence,423,5150227
933,distinctly,189,5150227
934,proper,390,5150227
935,dawn,366,5150227
936,hunger,187,5150227
937,everywhere,341,5150227
938,stream,579,5150227
939,carbonic,23,5150227
940,acid,127,5150227
941,fantastic,182,5150227
942,poor,1183,5150227
943,interior,360,5150227
944,although,742,5150227
945,floated,234,5150227
946,move,964,5150227
947,splendour,60,5150227
948,speedily,96,5150227
