id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
PG10217,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],22,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999
PG10217,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],22,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999
PG365,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],248,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999
PG365,,The Land of Little Rain,"Austin, Mary",1868.0,1934.0,['en'],248,"{'Frontier and pioneer life -- California', 'California -- History, Local', 'California -- Description and travel', 'Natural history -- California', 'California -- Social life and customs'}",,The Land of Little Rain,Austin,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868.0,Mary Hunter Austin,Q7745380,Q477999
PG10226,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],24,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG10226,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],24,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG10226,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],24,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG10226,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],24,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG2818,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],79,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG2818,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],79,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG2818,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],79,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG2818,,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],79,"{'Canada -- Fiction', 'Animal welfare -- Fiction', 'Didactic fiction', 'Dog owners -- Fiction', 'Human-animal relationships -- Fiction', 'Dogs -- Fiction'}",,Beautiful Joe,Saunders,http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861.0,Margaret Marshall Saunders,Q3235199,Q6759691
PG1023,,Bleak House,"Dickens, Charles",1812.0,1870.0,['en'],2537,"{'Domestic fiction', 'Young women -- Fiction', 'Inheritance and succession -- Fiction', 'Guardian and ward -- Fiction', 'Illegitimate children -- Fiction', 'Bildungsromans', 'Legal stories', 'London (England) -- Fiction'}",,Bleak House,Dickens,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812.0,Charles Dickens,Q883305,Q5686
PG1024,,The Wrecker,"Osbourne, Lloyd",1868.0,1947.0,['en'],172,"{'Avarice -- Fiction', 'Shipwrecks -- Fiction', 'Treasure troves -- Fiction'}",,The Wrecker,Osbourne,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868.0,Lloyd Osbourne,Q2753955,Q1387643
PG1026,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],564,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825
PG1026,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],564,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825
PG21517,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],141,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825
PG21517,,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],141,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847.0,George Grossmith,Q864150,Q1564825
PG1027,,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],264,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",,The Lone Star Ranger,Grey,http://www.wikidata.org/entity/Q16386740,http://www.wikidata.org/entity/Q146763,1872.0,Zane Grey,Q16386740,Q146763
PG1028,,The Professor,"Brontë, Charlotte",1816.0,1855.0,['en'],404,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'Brussels (Belgium) -- Fiction', 'British -- Belgium -- Fiction', 'Women teachers -- Fiction'}",,The Professor,Brontë,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/entity/Q127332,1816.0,Charlotte Brontë,Q762203,Q127332
PG10290,,Confession de Minuit: Roman,"Duhamel, Georges",1884.0,1966.0,['fr'],115,{'French fiction -- 20th century'},,Confession de Minuit,Duhamel,http://www.wikidata.org/entity/Q107104468,http://www.wikidata.org/entity/Q20733,1884.0,Georges Duhamel,Q107104468,Q20733
PG10291,,In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],24,"{'World War, 1914-1918 -- Peace', 'Democracy', 'League of Nations'}",,In the Fourth Year,Wells,http://www.wikidata.org/entity/Q6012178,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q6012178,Q42511
PG1029,,The Night-Born,"London, Jack",1876.0,1916.0,['en'],225,"{'Short stories', 'Adventure and adventurers -- Fiction'}",,The Night-Born,London,http://www.wikidata.org/entity/Q78289676,http://www.wikidata.org/entity/Q45765,1876.0,Jack London,Q78289676,Q45765
PG1032,,The Pupil,"James, Henry",1843.0,1916.0,['en'],163,{'Fiction'},,The Pupil,James,http://www.wikidata.org/entity/Q7758766,http://www.wikidata.org/entity/Q170509,1843.0,Henry James,Q7758766,Q170509
PG10337,,Lady into Fox,"Garnett, David",1892.0,1981.0,['en'],114,"{'Metamorphosis -- Fiction', 'Fantasy fiction, English', 'Foxes -- Fiction'}",,Lady into Fox,Garnett,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q704860,1892.0,David Garnett,Q6470665,Q704860
PG10339,,An Antarctic Mystery,"Verne, Jules",1828.0,1905.0,['en'],196,{'Antarctica -- Discovery and exploration -- Fiction'},,An Antarctic Mystery,Verne,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q33977,1828.0,Jules Verne,Q1212137,Q33977
PG10345,,Domestic Manners of the Americans,"Trollope, Frances Milton",1780.0,1863.0,['en'],172,"{'United States -- Social life and customs -- 1783-1865', 'Trollope, Frances Milton, 1780-1863 -- Travel -- United States', 'United States -- Description and travel', 'United States -- Social conditions -- To 1865'}",,Domestic Manners of the Americans,Trollope,http://www.wikidata.org/entity/Q5290161,http://www.wikidata.org/entity/Q271961,1780.0,Frances Trollope,Q5290161,Q271961
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG1034,,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893.0,Wilfred Owen,Q19038860,Q212719
PG10354,,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,"{'Pastoral poetry', 'German poetry -- 18th century'}",,Die Laune des Verliebten,Goethe,http://www.wikidata.org/entity/Q1214293,http://www.wikidata.org/entity/Q5879,1749.0,Johann Wolfgang von Goethe,Q1214293,Q5879
PG10359,,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],26,"{'Stocks -- Juvenile fiction', 'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces at Millville,Baum,http://www.wikidata.org/entity/Q4821963,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821963,Q207544
