,work,genre,workLabel,genreLabel,PublicationYear
0,http://www.wikidata.org/entity/Q3486765,http://www.wikidata.org/entity/Q8261,The Grizzly King,novel,1916
0,http://www.wikidata.org/entity/Q2266122,,Growth of the Soil,,1917
0,http://www.wikidata.org/entity/Q30901576,http://www.wikidata.org/entity/Q8261,The Turmoil,novel,1930
0,http://www.wikidata.org/entity/Q7714967,http://www.wikidata.org/entity/Q388170,The Autobiography of an Ex-Colored Man,African American literature,1912
0,http://www.wikidata.org/entity/Q919067,http://www.wikidata.org/entity/Q4376526,Max Havelaar,double novel,1860
1,http://www.wikidata.org/entity/Q919067,http://www.wikidata.org/entity/Q20358335,Max Havelaar,political novel,1860
0,http://www.wikidata.org/entity/Q919067,http://www.wikidata.org/entity/Q4376526,Max Havelaar,double novel,1860
1,http://www.wikidata.org/entity/Q919067,http://www.wikidata.org/entity/Q20358335,Max Havelaar,political novel,1860
0,http://www.wikidata.org/entity/Q6014663,http://www.wikidata.org/entity/Q3429239,Incidents in the Life of a Slave Girl,slave narrative,1861
0,http://www.wikidata.org/entity/Q2875147,,Aziyadé,,1879
0,http://www.wikidata.org/entity/Q1277632,http://www.wikidata.org/entity/Q3454581,Isabelle,récit,1911
0,http://www.wikidata.org/entity/Q1373644,,Eugénie Grandet,,1833
0,http://www.wikidata.org/entity/Q3207959,,The Cruise of the Dazzler,,1902
0,http://www.wikidata.org/entity/Q7728505,,The Custom of the Country,,1913
0,http://www.wikidata.org/entity/Q3232266,http://www.wikidata.org/entity/Q8261,The Aspirations of Jean Servien,novel,1882
0,http://www.wikidata.org/entity/Q649409,http://www.wikidata.org/entity/Q80930,Tess of the d'Urbervilles,tragedy,1891
0,http://www.wikidata.org/entity/Q124088223,,The Girl at Cobhurst,,1898
0,http://www.wikidata.org/entity/Q7721500,http://www.wikidata.org/entity/Q5937792,The Case of Jennie Brice,crime fiction,1913
0,http://www.wikidata.org/entity/Q3819262,http://www.wikidata.org/entity/Q208505,The Red Thumb Mark,crime novel,1907
0,http://www.wikidata.org/entity/Q1163683,http://www.wikidata.org/entity/Q8261,Pierre et Jean,novel,1887
0,http://www.wikidata.org/entity/Q56284679,,Deccan Nursery Tales,,1914
0,http://www.wikidata.org/entity/Q2222,http://www.wikidata.org/entity/Q3328821,Uncle Tom's Cabin,narration,1852
0,http://www.wikidata.org/entity/Q2222,http://www.wikidata.org/entity/Q3328821,Uncle Tom's Cabin,narration,1852
0,http://www.wikidata.org/entity/Q5494338,http://www.wikidata.org/entity/Q21615367,Freckles,children's novel,1904
0,http://www.wikidata.org/entity/Q1197767,http://www.wikidata.org/entity/Q35760,Utilitarianism,essay,1861
0,http://www.wikidata.org/entity/Q7750421,http://www.wikidata.org/entity/Q1196408,The Marrow of Tradition,historical fiction,1901
0,http://www.wikidata.org/entity/Q368566,http://www.wikidata.org/entity/Q24925,The Purple Cloud,science fiction,1901
1,http://www.wikidata.org/entity/Q368566,http://www.wikidata.org/entity/Q197949,The Purple Cloud,post-apocalyptic fiction,1901
2,http://www.wikidata.org/entity/Q368566,http://www.wikidata.org/entity/Q1347298,The Purple Cloud,serialized fiction,1901
0,http://www.wikidata.org/entity/Q124091147,,Vain Fortune,,1891
0,http://www.wikidata.org/entity/Q124088052,,The Fairy Godmothers and Other Tales,,1851
0,http://www.wikidata.org/entity/Q21465365,,Pallieter,,1916
0,http://www.wikidata.org/entity/Q1195233,http://www.wikidata.org/entity/Q474090,A Lover's Complaint,narrative poetry,1609
0,http://www.wikidata.org/entity/Q1195233,http://www.wikidata.org/entity/Q474090,A Lover's Complaint,narrative poetry,1609
0,http://www.wikidata.org/entity/Q7760264,,The Research Magnificent,,1915
0,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q1347298,The Secret Garden,serialized fiction,1911
1,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q8275050,The Secret Garden,children's book,1911
0,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q1347298,The Secret Garden,serialized fiction,1911
1,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q8275050,The Secret Garden,children's book,1911
0,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q1347298,The Secret Garden,serialized fiction,1911
1,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q8275050,The Secret Garden,children's book,1911
0,http://www.wikidata.org/entity/Q5295444,http://www.wikidata.org/entity/Q1196408,The Refugees,historical fiction,1893
0,http://www.wikidata.org/entity/Q1329329,http://www.wikidata.org/entity/Q319226,Typhoon,adventure novel,1902
0,http://www.wikidata.org/entity/Q7775018,http://www.wikidata.org/entity/Q149537,The Willows,novella,1907
1,http://www.wikidata.org/entity/Q7775018,http://www.wikidata.org/entity/Q193606,The Willows,horror literature,1907
2,http://www.wikidata.org/entity/Q7775018,http://www.wikidata.org/entity/Q732782,The Willows,weird fiction,1907
0,http://www.wikidata.org/entity/Q7679363,http://www.wikidata.org/entity/Q132311,Tales of Three Hemispheres,fantasy,1919
0,http://www.wikidata.org/entity/Q3686748,http://www.wikidata.org/entity/Q149537,In the Cage,novella,1898
0,http://www.wikidata.org/entity/Q7380383,http://www.wikidata.org/entity/Q319226,Rupert of Hentzau,adventure novel,1898
0,http://www.wikidata.org/entity/Q20640524,,The Journal of a Voyage to Lisbon,,1755
0,http://www.wikidata.org/entity/Q109925257,http://www.wikidata.org/entity/Q27217074,The Blotting Book,mystery novel,1908
0,http://www.wikidata.org/entity/Q4749912,http://www.wikidata.org/entity/Q35760,An Englishman Looks at the World,essay,1914
0,http://www.wikidata.org/entity/Q30109470,http://www.wikidata.org/entity/Q35760,All Things Considered,essay,1908
0,http://www.wikidata.org/entity/Q2043958,http://www.wikidata.org/entity/Q24925,The Chessmen of Mars,science fiction,1922
1,http://www.wikidata.org/entity/Q2043958,http://www.wikidata.org/entity/Q132311,The Chessmen of Mars,fantasy,1922
2,http://www.wikidata.org/entity/Q2043958,http://www.wikidata.org/entity/Q1080374,The Chessmen of Mars,science fantasy,1922
0,http://www.wikidata.org/entity/Q7773132,http://www.wikidata.org/entity/Q132311,The Voyages of Doctor Dolittle,fantasy,1922
0,http://www.wikidata.org/entity/Q221765,http://www.wikidata.org/entity/Q24925,Facing the Flag,science fiction,1896
1,http://www.wikidata.org/entity/Q221765,http://www.wikidata.org/entity/Q6960620,Facing the Flag,travel novel,1896
2,http://www.wikidata.org/entity/Q221765,http://www.wikidata.org/entity/Q21802675,Facing the Flag,adventure fiction,1896
0,http://www.wikidata.org/entity/Q617379,http://www.wikidata.org/entity/Q186424,The Secret Adversary,detective fiction,1922
0,http://www.wikidata.org/entity/Q1107000,http://www.wikidata.org/entity/Q128758,Babbitt,satire,1922
0,http://www.wikidata.org/entity/Q98551727,,Master Skylark,,1897
0,http://www.wikidata.org/entity/Q7164626,,Penrod and Sam,,1916
0,http://www.wikidata.org/entity/Q3210330,,La Maison Tellier,,1881
0,http://www.wikidata.org/entity/Q124088441,,The House of Cobwebs and Other Stories,,1906
0,http://www.wikidata.org/entity/Q4197654,,The Game,,1905
0,http://www.wikidata.org/entity/Q3177443,,Jerry of the Islands,,1917
0,http://www.wikidata.org/entity/Q1249439,,My Brilliant Career,,1901
0,http://www.wikidata.org/entity/Q17991789,http://www.wikidata.org/entity/Q20358335,The Dawn of All,political novel,1911
1,http://www.wikidata.org/entity/Q17991789,http://www.wikidata.org/entity/Q27022970,The Dawn of All,utopian novel,1911
0,http://www.wikidata.org/entity/Q5448084,http://www.wikidata.org/entity/Q132311,Figures of Earth,fantasy,1921
0,http://www.wikidata.org/entity/Q3202732,http://www.wikidata.org/entity/Q21802675,Adventure,adventure fiction,1911
0,http://www.wikidata.org/entity/Q124084092,,John Caldigate,,1879
0,http://www.wikidata.org/entity/Q124090099,,The Rudder Grangers Abroad and Other Stories,,1891
0,http://www.wikidata.org/entity/Q19026101,,A Strange Disappearance,,1880
0,http://www.wikidata.org/entity/Q4080743,http://www.wikidata.org/entity/Q8261,Without Dogma,novel,1891
0,http://www.wikidata.org/entity/Q1215802,http://www.wikidata.org/entity/Q24925,The Food of the Gods and How It Came to Earth,science fiction,1904
1,http://www.wikidata.org/entity/Q1215802,http://www.wikidata.org/entity/Q19765983,The Food of the Gods and How It Came to Earth,romantic fiction,1904
0,http://www.wikidata.org/entity/Q665715,http://www.wikidata.org/entity/Q319226,The Swiss Family Robinson,adventure novel,1812
0,http://www.wikidata.org/entity/Q665715,http://www.wikidata.org/entity/Q319226,The Swiss Family Robinson,adventure novel,1812
0,http://www.wikidata.org/entity/Q665715,http://www.wikidata.org/entity/Q319226,The Swiss Family Robinson,adventure novel,1812
0,http://www.wikidata.org/entity/Q191838,http://www.wikidata.org/entity/Q1196408,The Count of Monte Cristo,historical fiction,1844
