,work,personLabel,workLabel,person,author,last_name
48,http://www.wikidata.org/entity/Q7762405,L. Frank Baum,The Scarecrow of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
49,http://www.wikidata.org/entity/Q7762755,L. Frank Baum,The Sea Fairies,http://www.wikidata.org/entity/Q207544,Q207544,Baum
50,http://www.wikidata.org/entity/Q7769442,L. Frank Baum,The Tin Woodman of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
51,http://www.wikidata.org/entity/Q7801858,L. Frank Baum,Tik-Tok of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
52,http://www.wikidata.org/entity/Q15032608,L. Frank Baum,The Enchanted Island of Yew,http://www.wikidata.org/entity/Q207544,Q207544,Baum
53,http://www.wikidata.org/entity/Q16385081,L. Frank Baum,Aunt Jane's Nieces on Vacation,http://www.wikidata.org/entity/Q207544,Q207544,Baum
54,http://www.wikidata.org/entity/Q16386472,L. Frank Baum,John Dough and the Cherub,http://www.wikidata.org/entity/Q207544,Q207544,Baum
55,http://www.wikidata.org/entity/Q17030278,L. Frank Baum,Sam Steele's Adventures on Land and Sea,http://www.wikidata.org/entity/Q207544,Q207544,Baum
56,http://www.wikidata.org/entity/Q17031274,L. Frank Baum,The Woggle-Bug Book,http://www.wikidata.org/entity/Q207544,Q207544,Baum
57,http://www.wikidata.org/entity/Q56599071,L. Frank Baum,Tamawaca Folks,http://www.wikidata.org/entity/Q207544,Q207544,Baum
58,http://www.wikidata.org/entity/Q68085837,L. Frank Baum,Mary Louise Adopts a Soldier,http://www.wikidata.org/entity/Q207544,Q207544,Baum
59,http://www.wikidata.org/entity/Q109326659,L. Frank Baum,The Boy Fortune Hunters in the South Seas,http://www.wikidata.org/entity/Q207544,Q207544,Baum
60,http://www.wikidata.org/entity/Q114568940,L. Frank Baum,The Master Key,http://www.wikidata.org/entity/Q207544,Q207544,Baum
0,http://www.wikidata.org/entity/Q130295,L. Frank Baum,The Wonderful Wizard of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
1,http://www.wikidata.org/entity/Q473588,L. Frank Baum,Dorothy and the Wizard in Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
2,http://www.wikidata.org/entity/Q615227,L. Frank Baum,The Patchwork Girl of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
3,http://www.wikidata.org/entity/Q1250364,L. Frank Baum,The Road to Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
4,http://www.wikidata.org/entity/Q1250364,L. Frank Baum,The Road to Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
5,http://www.wikidata.org/entity/Q1250366,L. Frank Baum,The Emerald City of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
6,http://www.wikidata.org/entity/Q1659447,L. Frank Baum,The Marvelous Land of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
7,http://www.wikidata.org/entity/Q3990060,L. Frank Baum,The Wizard of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
8,http://www.wikidata.org/entity/Q4180222,L. Frank Baum,The Life and Adventures of Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
9,http://www.wikidata.org/entity/Q4180222,L. Frank Baum,The Life and Adventures of Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
10,http://www.wikidata.org/entity/Q4375085,L. Frank Baum,A Kidnapped Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
11,http://www.wikidata.org/entity/Q4743720,L. Frank Baum,American Fairy Tales,http://www.wikidata.org/entity/Q207544,Q207544,Baum
12,http://www.wikidata.org/entity/Q4764801,L. Frank Baum,Animal Fairy Tales,http://www.wikidata.org/entity/Q207544,Q207544,Baum
13,http://www.wikidata.org/entity/Q4767669,L. Frank Baum,Annabel,http://www.wikidata.org/entity/Q207544,Q207544,Baum
14,http://www.wikidata.org/entity/Q4821956,L. Frank Baum,Aunt Jane's Nieces,http://www.wikidata.org/entity/Q207544,Q207544,Baum
15,http://www.wikidata.org/entity/Q4821959,L. Frank Baum,Aunt Jane's Nieces Abroad,http://www.wikidata.org/entity/Q207544,Q207544,Baum
16,http://www.wikidata.org/entity/Q4821961,L. Frank Baum,Aunt Jane's Nieces Out West,http://www.wikidata.org/entity/Q207544,Q207544,Baum
17,http://www.wikidata.org/entity/Q4821962,L. Frank Baum,Aunt Jane's Nieces and Uncle John,http://www.wikidata.org/entity/Q207544,Q207544,Baum
18,http://www.wikidata.org/entity/Q4821963,L. Frank Baum,Aunt Jane's Nieces at Millville,http://www.wikidata.org/entity/Q207544,Q207544,Baum
19,http://www.wikidata.org/entity/Q4821964,L. Frank Baum,Aunt Jane's Nieces at Work,http://www.wikidata.org/entity/Q207544,Q207544,Baum
20,http://www.wikidata.org/entity/Q4821965,L. Frank Baum,Aunt Jane's Nieces in Society,http://www.wikidata.org/entity/Q207544,Q207544,Baum
21,http://www.wikidata.org/entity/Q4821966,L. Frank Baum,Aunt Jane's Nieces in the Red Cross,http://www.wikidata.org/entity/Q207544,Q207544,Baum
22,http://www.wikidata.org/entity/Q4821967,L. Frank Baum,Aunt Jane's Nieces on the Ranch,http://www.wikidata.org/entity/Q207544,Q207544,Baum
23,http://www.wikidata.org/entity/Q5003855,L. Frank Baum,By the Candelabra's Glare,http://www.wikidata.org/entity/Q207544,Q207544,Baum
24,http://www.wikidata.org/entity/Q5227941,L. Frank Baum,Daughters of Destiny,http://www.wikidata.org/entity/Q207544,Q207544,Baum
25,http://www.wikidata.org/entity/Q5299399,L. Frank Baum,Dot and Tot of Merryland,http://www.wikidata.org/entity/Q207544,Q207544,Baum
26,http://www.wikidata.org/entity/Q5437599,L. Frank Baum,Father Goose's Year Book,http://www.wikidata.org/entity/Q207544,Q207544,Baum
