,id,title,language,downloads,book_QN,author_QN,authorLabel
2562,PG49850,"The Tower of London: A Historical Romance, Illustrated",['en'],89,Q2414713,Q518359,William Harrison Ainsworth
2563,PG498,Rebecca of Sunnybrook Farm,['en'],334,Q7301985,Q438241,Kate Douglas Wiggin
2564,PG49918,The Land of Promise: A Comedy in Four Acts,['en'],24,Q64347076,Q134942,William Somerset Maugham
2565,PG49949,The Logic of Vegetarianism: Essays and Dialogues,['en'],45,Q56042550,Q1364647,Henry Stephens Salt
2566,PG50022,The Wailing Asteroid,['en'],68,Q28401726,Q550449,Murray Leinster
2567,PG50032,"A Dog of Flanders, The Nürnberg Stove, and Other Stories",['en'],50,Q11036624,Q258001,Ouida
2568,PG50037,Wyllard's Weird: A Novel,['en'],41,Q56461999,Q437184,Mary Elizabeth Braddon
2569,PG50060,"Under the Hill, and Other Essays in Prose and Verse",['en'],92,Q7883307,Q272566,Aubrey Beardsley
2570,PG500,The Adventures of Pinocchio,['en'],2305,Q8065468,Q199588,Carlo Collodi
2571,PG50104,"Jessica's First Prayer; and, Jessica's Mother",['en'],136,Q124084054,Q4443905,Hesba Stretton
2572,PG50109,The Mysterious Stranger: A Romance,['en'],55,Q2582895,Q7245,Mark Twain
2573,PG50133,The Dunwich Horror,['en'],705,Q2468877,Q169566,H. P. Lovecraft
2574,PG50175,Bird Watching,['en'],175,Q51402219,Q3048134,Edmund Selous
2575,PG50180,Penelope: A Comedy in Three Acts,['en'],24,Q27928382,Q134942,William Somerset Maugham
2576,PG50194,The Magic of Oz,['en'],304,Q7749508,Q207544,L. Frank Baum
2577,PG501,The Story of Doctor Dolittle,['en'],907,Q251604,Q560015,Hugh Lofting
2578,PG502,Desert Gold,['en'],97,Q20087532,Q146763,Zane Grey
2579,PG50361,Wet Magic,['en'],86,Q122416493,Q231708,Edith Nesbit
2580,PG50439,English Eccentrics and Eccentricities,['en'],61,Q5378237,Q15515663,John Timbs
2581,PG50441,Master of Life and Death,['en'],73,Q56151734,Q314553,Robert Silverberg
2582,PG504,The Fifth String,['en'],67,Q47206689,Q295935,John Philip Sousa
2583,PG50560,A Century of Dishonor: A Sketch of the United States Government's Dealings with Some of the Indian Tribes,['en'],193,Q4655785,Q462363,Helen Hunt Jackson
2584,PG50561,The Dark Other,['en'],63,Q7728971,Q944409,Stanley G. Weinbaum
2585,PG50566,Falcons of Narabedla,['en'],61,Q3790781,Q465179,Marion Zimmer Bradley
2586,PG50571,The Green Odyssey,['en'],54,Q3204437,Q296256,Philip José Farmer
2587,PG50598,The Dark Frigate,['en'],70,Q7728939,Q5078843,Charles Hawes
2588,PG5066,The Whole Family: a Novel by Twelve Authors,['en'],158,Q3916757,Q6780584,Mary Raymond Shipman Andrews
2589,PG5067,The Rainbow Trail,['en'],164,Q7759333,Q146763,Zane Grey
2590,PG506,The Shuttle,['en'],156,Q19895811,Q276028,Frances Hodgson Burnett
2591,PG50712,Will Shakespeare: An Invention in Four Acts,['en'],21,Q75730808,Q728558,Clemence Dane
2592,PG5074,Aunt Judy's Tales,['en'],30,Q124081674,Q1382113,Margaret Gatty
2593,PG50764,Colour in the flower garden,['en'],123,Q51457595,Q452354,Gertrude Jekyll
2594,PG50766,The Snowball Effect,['en'],87,Q102238222,Q1443787,Katherine MacLean
2595,PG5076,The Spoilers,['en'],44,Q7765978,Q545381,Rex Beach
2596,PG51840,The Spoilers,['en'],34,Q7765978,Q545381,Rex Beach
2597,PG50774,Contagion,['en'],223,Q108253729,Q1443787,Katherine MacLean
2598,PG507,Adam Bede,['en'],660,Q2611046,Q131333,George Eliot
2599,PG50819,A Bad Day for Sales,['en'],99,Q107598475,Q313185,Fritz Leiber
2600,PG50832,An Australian Girl,['en'],48,Q23307918,Q5052655,Catherine Edith Macauley Martin
2601,PG5083,The Man of Feeling,['en'],388,Q7750109,Q1276720,Henry Mackenzie
2602,PG50848,Soldier Boy,['en'],48,Q7557284,Q739385,Michael Shaara
