,word,count
997,Seized,814
10747,Shalt,813
580,Holding,812
42115,Montoni,811
1812,Laugh,810
481,Impossible,809
602,Step,808
1063,Entirely,807
741,Expression,807
3467,Angry,806
1212,Understood,805
505,Swiftly,804
1684,Deal,804
356,Nearer,801
2418,Fate,801
4766,Iron,800
621,Corner,799
536,Bent,798
350,Copyright,796
6374,Wore,795
4605,Kissed,793
325,Surface,792
408,Passing,790
1958,Picture,790
2189,Therewith,789
9476,Fairy,788
930,Faces,788
2323,Forgotten,788
4935,Throne,787
358,Wondered,786
476,Lower,785
425,Disappeared,783
2471,Twenty,783
956,Anyone,782
309,Remembered,782
549,Knowledge,782
2063,Woods,781
757,Age,779
1836,Shut,779
2738,Breast,778
1382,Besides,778
2391,Pleasure,776
1945,Written,775
274,Noticed,774
4704,Plan,774
1710,Natural,770
830,Visit,770
643,Grey,770
2217,Bore,769
1642,Animals,768
509,Bottom,767
11142,Otter,767
756,Mad,766
2267,Speech,766
548,Ahead,766
10860,Knight,763
1029,Touch,763
5201,Afterwards,758
1600,Ere,758
901,Shining,758
570,Opposite,757
874,Observed,756
3844,Spring,756
388,States,755
1370,Ah,755
2346,Fashion,754
5419,Seven,754
2450,Feared,753
1099,Dry,752
662,Listen,752
4874,Sorry,751
1085,Bank,751
367,Agreement,750
399,Evidently,749
5202,Horses,748
8852,Weapons,748
5501,Thank,747
554,Listened,747
2642,Hills,746
1545,Remarked,746
1779,Concerning,745
9940,Slain,745
1377,Bade,744
3445,Blow,744
361,Stars,743
2861,Family,739
410,Passage,738
608,Hole,738
430,Spread,735
365,Growing,734
156,Noise,733
812,Matters,733
578,Stones,733
1203,General,732
1081,Pleased,731
2856,Camp,730
1152,Surprised,729
1531,Arrived,729
4681,Flesh,728
1040,Future,728
3342,Deemed,728
474,Memory,727
1761,Thrust,726
7250,Demanded,726
2510,Box,725
340,Distant,724
406,Attempt,723
4899,Youth,722
439,Tower,720
8141,Cloak,720
1225,Knees,719
1766,Savage,716
967,Fled,716
1640,Middle,715
2403,Conversation,714
10035,Warrior,713
521,Account,711
803,Notice,708
9939,Leaped,707
3598,Worse,705
711,Quick,705
1338,Break,703
13369,Axe,703
1178,Instantly,702
3716,Command,701
1191,Paused,701
500,Frightened,701
4986,Especially,700
2683,Unto,698
749,Start,698
781,Carefully,697
1487,Emerald,696
3330,Ear,696
380,Ceased,696
4795,Common,696
454,Shone,695
3809,Fly,694
950,Telling,693
1682,Skin,692
733,Charge,690
2887,English,690
6757,Named,690
57768,Tanar,689
2257,Throat,689
5488,Exactly,688
5339,Game,688
3653,Wine,687
758,Empty,687
9551,Enemy,686
2539,Makes,686
1072,Inside,685
584,Loud,683
693,Ring,683
863,Weary,681
9143,Slaves,681
7342,Pleasant,681
1002,Afternoon,680
288,Faint,679
4408,Stretched,679
1838,Pay,679
395,Glance,679
5506,Spirits,679
923,Walking,676
2077,Knowing,675
3051,Amongst,675
1074,Repeated,675
1218,Drawn,675
2022,Desert,675
4817,Meat,674
2703,Expected,674
1312,Reply,674
707,Sharp,673
15169,Soldier,673
2447,Tongue,672
1406,Hot,672
3034,Servants,672
511,Windows,672
3363,Race,670
6632,Sailor,669
1417,Softly,668
851,Happen,668
2070,Branches,668
4429,Bow,667
3052,Effect,667
7074,Doubtless,667
843,Built,666
575,Grown,665
1357,Giant,665
547,Pain,665
357,Falling,661
1668,Usual,661
3830,Enter,661
938,Suggested,660
651,Crossed,658
1185,Perfectly,657
6655,Tone,655
1595,Decided,653
5200,Gentleman,652
5121,Service,652
5648,Maiden,652
1571,Object,651
4922,Dreams,650
2231,Dare,650
861,Giving,649
550,Horror,648
4826,Wisdom,648
1259,Lies,648
907,Paid,647
1462,Sides,647
517,United,647
3984,Knife,645
597,Note,645
2705,Born,645
1557,Fixed,644
8260,Hut,644
2957,Hide,644
1227,Dreadful,644
3718,Talked,643
2595,Appear,643
551,Effort,641
5280,Laughing,640
1442,Approached,639
10143,Yonder,639
1594,Seated,638
837,Burst,638
414,License,638
2062,Voices,637
2360,Circumstances,637
9278,Court,637
6905,Sand,636
1248,Sorrow,636
2233,Believed,634
1686,Nose,633
6613,Coast,631
472,Thin,631
6359,Pray,629
405,Fresh,628
222,Sister,627
38693,Gudruda,627
3885,Difficult,625
819,Smoke,624
426,Piece,623
888,Leading,622
428,Rise,622
1165,Tail,621
1249,Begin,620
6865,Sad,620
2445,Act,620
3431,Harm,620
6581,Declared,619
590,Awful,618
2008,Rolled,618
1273,Nodded,618
610,Snow,617
747,Crept,617
1327,Caused,617
1827,Otherwise,617
452,Quietly,616
6686,Saved,616
5496,Cross,616
10653,Amidst,616
1232,Catch,616
1962,Simple,615
1975,Escaped,615
7350,Kindly,615
681,Staring,614
10180,Smiling,614
13414,Shaggy,614
1094,Fifty,614
716,Directly,612
2880,Language,612
1320,Paper,611
9978,Girls,611
871,Higher,609
2194,Months,608
198,Vast,608
4815,Scraps,607
11434,Countenance,607
4539,Summer,606
14100,Slave,605
712,Sounds,604
737,Bare,604
1553,Companion,603
3305,Welcome,603
616,Unknown,602
464,Yards,602
1175,Determined,601
6168,Scarce,601
2345,Aloud,601
1965,Promise,600
964,Greatly,600
1221,Fierce,600
2451,Simply,599
710,Doors,599
7292,De,598
1860,Flying,597
661,Laws,597
289,Vanished,596
2470,Lot,596
17711,À,596
3290,Brown,596
593,Clouds,595
5187,Husband,595
4403,Thrown,595
3207,Holy,594
925,Warm,594
1316,Anxious,592
1383,Dinner,591
42116,Valancourt,589
24405,Des,588
1793,Occasion,588
483,Tired,587
2972,Latter,586
6635,Tiger,586
423,Moments,586
6980,Persons,586
2696,Grief,586
442,Donations,585
5223,Looks,584
6790,Mysterious,584
1671,Questions,583
519,Literary,583
3237,Whereas,582
4940,Lo,581
638,Sank,581
2792,Trust,581
2221,Powerful,581
582,Twice,580
3865,Teeth,580
9795,Jungle,579
1775,Trembling,578
1967,Merely,578
5075,Opportunity,578
4869,Hearts,575
4718,Singing,575
450,Rapidly,575
1532,Result,574
532,Mist,574
1277,Agreed,572
1365,Swept,571
744,Gazed,571
8397,Army,571
1587,Perfect,571
3694,Promised,571
6717,Armed,571
2640,Thereof,570
7900,Wo,570
3564,Corridor,569
1726,Gently,569
1059,Finding,569
7888,Ride,568
9808,Clad,567
499,Shadows,567
1830,Rain,566
723,Information,566
966,Formed,566
3232,Ate,565
5246,London,564
650,Keeping,564
897,Rate,564
1181,Animal,560
2281,Rage,560
349,Size,559
5939,Former,558
31374,Baas,557
6648,Farther,557
2896,Fellows,556
4761,Draw,555
3688,Laughter,555
1451,Whence,555
6798,Lands,554
6165,Wooden,554
1309,Safety,553
660,Entrance,553
657,Attack,553
3953,Dragged,553
829,Explain,552
1707,Hither,551
1060,Tiny,550
15231,Maid,549
718,Cloud,549
5436,Bid,547
1295,Lighted,546
5459,Played,546
24039,Egypt,546
5457,Board,546
435,Brain,546
3044,Needs,546
725,Agree,544
2109,Failed,544
8336,Soldiers,544
2207,Fighting,544
903,Level,543
9778,Marble,543
4010,Goes,542
5136,Important,541
3404,Difficulty,540
10176,Message,540
10815,Priests,539
258,Speed,539
3062,Sake,539
10071,Servant,538
11617,Majesty,537
13825,Engineer,536
451,Breakfast,535
3035,Hate,534
5348,Duty,533
209,Glanced,532
3494,Slay,532
847,Parts,532
4234,Rested,531
3502,Lose,531
1215,Grave,531
5307,Seat,531
223,Dust,530
4295,Flight,530
1844,Ghost,530
2007,Prepared,530
2012,Fish,529
1159,Likely,528
38694,Skallagrim,528
4549,Ended,528
879,Forced,528
5210,Mistress,528
6459,Crown,527
4282,Winter,526
44564,Curdie,526
